TS066,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-09-25,8.3,582,16.9,8.8,2.05,642.0,113,360,2,8.19,206,0,0,0.05,0,0.024,0.2,0.05,0.065
2002-11-07,8,204,8.7,5.9,89.61,166.0,56,132,4,7.26,36,0,0,0.08,0.05,0.045,0.49,0.08,0.5
2002-12-06,7.7,319.9,1.4,7.49,23.5,305.0,73,164,10,7.26,36,0,0,0.08,0.1,0,0.3,0.1,0.241
2003-01-21,7.8,242.8,0.3,,,276.0,82,148,3,7.03,34,0,0,0.11,0.11,0,0.22,0.11,0
2003-02-12,7.6,203,2.1,,43.59,179.0,55,104,2,7.12,128,0,0,0.08,0.1,0,0.25,0.1,0
2003-03-11,7.6,281,4.2,12.1,30.61,297.0,99,180,0,7.13,112,0,0,0.1,0.12,0.021,0.21,0.13,0.037
2003-04-14,7.2,140,12.2,,100,137.0,41,100,11,6.87,20,0,0,0,0,0,0.19,0.04,0.066
2003-05-13,7.5,178,13.8,,43,222.0,61,116,9,7.18,36,0,0,0.11,0.06,0.026,0.46,0.07,0.13
2003-06-05,7.5,179.5,15.4,,96,153.0,53,112,63,6.59,26,0,0,0.07,0,0.073,0.75,0.07,0.309
2003-07-15,7.8,339.6,23.5,,11.4,378.0,103,232,10,7.2,60,0,0,0.08,0.1,0.052,0.31,0.33,0.119
2003-08-06,8,429.5,22.6,,4.43,533.0,113,300,0,7.79,102,0,0,0.07,0.03,0,0.25,0.03,0.055
2003-09-06,7.5,209.6,17.4,,52,231.0,67,148,20,7.4,44,0,0,0.3,0.04,0.139,1.05,0.09,0.646
2003-10-13,7.5,505,16.2,,2.06,529.0,116,268,0,7.71,118,0,0,0.17,0.03,0,0.22,0.03,0.064
2003-11-25,7,193.9,9.4,,52,220.0,42,112,8,6.93,46,0,0,0.1,0.08,0,0.4,0.08,0
2003-12-23,8.1,193,4.1,11.6,69.2,192.0,43,96,5,7.45,126,0,0,0.09,0.07,0.029,0.38,0.08,0.547
2004-01-20,6.8,147.6,1.6,,104,151.0,41,72,5,7.61,124,0,0,0,0.06,0.023,0.28,0.07,0.14
2004-03-08,7.0,134.7,7.0,,,130.0,28,80,12,6.31,16,6,0,0.06,0,0.057,0.38,0.04,0.237
2004-03-22,7,196.3,5.8,12.6,33,199.0,59,128,0,6.7,44,0,0,0,0.04,0,0.21,0.05,0.055
2004-04-26,7.7,230.9,16,,48,259.0,64,156,61,6.98,84,0,0,0.17,0,0.08,1.53,0.04,0.632
2004-05-11,8,383,20.3,,11,433.0,109,256,0,7.34,70,0,0,0.08,0.03,0,0.14,0.03,0.027
2004-06-23,8,253.8,20.1,,,300.0,76,176,120,7.07,64,0,0,0.4,0.03,0.24,2.36,0.12,0.562
2004-07-29,7.5,258.5,21.7,,32,266.0,69,164,4,6.75,56,0,0,0.34,0.05,0.035,0.4,0.06,0.097
2004-08-23,7.5,413.9,20.5,,10,412.0,98,244,18,7.27,84,0,0,0.06,0.04,0,0.5,0.06,0.18
2004-10-01,7.8,376.3,15.1,,25,380.0,91,192,0,6.81,76,0,0,0.13,0,0,0.26,0,0.031
2004-10-25,7,200.1,14.8,,53,188.0,42,140,6,6.8,46,0,0,0.19,0.05,0,0.31,0.06,0.061
2004-11-19,7,180.8,12.1,,,176.0,40,120,48,6.93,36,0,0,0.13,0.06,0.209,0.4,0.08,0.453
2004-12-07,7,174.6,12.1,11.39,93,162.0,36,96,0,6.66,34,0,0,0.12,0.05,0.083,0.24,0.06,0.121
2005-01-18,6.5,192.6,1.0,,,181.0,35,92,4,6.87,26,0,0,0.13,0.12,0,0.28,0.13,0.166
2005-02-12,7.0,210.8,6.2,,53,190.0,37,140,0,7.04,28,0,0,0.06,0.1,0.09,0.19,0.1,0.101
2005-03-11,6.5,151.3,5.3,,,158.0,26,80,12,6.66,28,0,0,0.15,0.06,0.033,0.39,0.08,0.179
2005-05-06,7.6,206.6,14.5,10.67,46,227.0,32,200,7,6.9,34,0,0,0,0.04,0,0.19,0.05,0.086
2005-05-27,7.9,332.6,17.9,,17,345.0,58,224,1,7.16,74,0,0,0.06,0.05,0.057,0.17,0.05,0.087
2005-06-24,7.5,668,23.1,,4,6.87,78,460,2,7.59,136,0,0,0.06,0.09,0.038,0.22,0.11,0.089
2005-07-12,7.5,594,22.1,,5,647.0,125,392,2,7.04,112,0,0,0,0.04,0.031,0,0.05,0.065
2005-08-25,8.1,473.2,20.4,,4,499.0,68,320,22,7.38,110,0,0,0,0.09,0.084,0.3,0.09,0.278
2005-10-01,7.8,597,14.6,9.36,3,581.0,155,572,2,7.27,106,0,0,0.08,0.05,0.078,0.12,0.06,0.118
2005-12-05,8.1,430,3.5,NaN,11.3,438.0,29,340,3,7.67,148,0,0,0.1,0.07,0.032,0.32,0.08,0.078
2006-01-03,8,265.1,7.5,NaN,32.4,274.0,59,156,5,6.21,32,0,0,0.24,0.07,0.021,0.41,0.08,0.125
2006-02-14,8.3,259.6,5,NaN,37.5,283.0,92,204,3,6.02,26,0,26,0.18,0.14,0,0.31,0.14,0.042
2006-04-06,7.9,155.3,11.2,11.81,52.3,161.0,42,104,3,7.41,22,0,0,0.14,0.08,0,0.48,0.12,0.194
2006-04-27,8.0,172.2,13.4,NaN,72.5,137.0,19,100,6,6.58,32,0,0,0.09,0.05,0,0.3,0.07,0.03
2006-05-22,8.6,462.9,17.5,NaN,9.45,514.0,84,292,5,7.5,74,0,0,0.15,0.06,0,0.28,0.06,0.044
2006-06-19,7.9,291.5,20.7,NaN,3.43,659.0,94,344,4,6.75,64,0,0,0.12,0.12,0,0.35,0.14,0.116
2006-08-06,8.2,443.3,27.3,NaN,1.46,681.0,92,396,0,7.74,120,0,0,0.11,0.11,0.026,0.24,0.14,0.104
2006-08-17,8.4,500,22.8,NaN,1.17,615.0,113,356,0,7.43,118,0,0,0.12,0.13,0,0.37,0.16,0.031
2006-09-25,7,151.3,16.6,NaN,NaN,141.0,41,120,38,6.82,32,0,0,0.15,0,0.048,0.79,0.04,0.283
2006-11-01,7.8,180,14.6,10.32,76.8,216.0,55,112,7,6.98,40,0,0,0.14,0,0,0.31,0,0.091
2006-12-21,8.1,392.2,6.7,NaN,17,434.0,92,228,1,7.41,56,0,0,0.2,0.13,0.026,0.34,0.13,0.028
2007-01-18,7,139.5,4.6,NaN,NaN,152.0,54,96,5,7.01,26,0,0,0.16,0.07,0,0.31,0.08,0.096
2007-03-08,7.8,113.1,6.7,11.5,52.59,195.0,61,104,4,6.74,32,0,0,0.11,0.08,0,0.29,0.09,0.063
2007-05-07,7.5,116,12.1,NaN,10.9,146.0,48,96,2,6.81,20,0,0,0.07,0.05,0.034,0.36,0.07,0.103
2007-05-21,8,371,19.3,NaN,12.8,437.0,92,232,4,7.34,48,0,0,0.12,0.08,0,0.23,0.08,0.026
2007-07-11,8.5,678,23,NaN,11.4,707.0,153,452,7,7.35,88,0,0,0,0.1,0,0.35,0.19,0.213
2007-07-26,8.1,624,19.3,NaN,2.45,692.0,113,444,5,7.65,124,0,0,0.07,0.1,0.028,0.14,0.11,0.041
2007-08-29,8.2,804,24.6,NaN,0.551,876.0,145,536,0,7.64,138,0,0,0.12,0.14,0.029,0.37,0.29,0.209
2007-10-01,8.7,699,17.4,8.4,1.06,807.0,106,480,3,7.84,168,0,0,0.13,0,0,0.2,0.07,0.035
2007-10-12,7.5,879,13.3,NaN,0.405,866.0,145,544,1,7.81,160,0,0,0.11,0.03,0,0.19,0.04,0.02
2007-11-17,7.8,494,8.9,NaN,6.22,474.0,106,332,0,7.45,92,0,0,0.17,0,0.061,0.36,0,0.343
2008-01-07,8,185,7.1,NaN,NaN,346.0,74,184,1,7.45,64,0,0,0.15,0,0,0.31,0,0.051
2008-01-30,7.6,301,1.8,NaN,NaN,352.0,83,188,61,6.82,24,0,0,0.14,0.06,0.04,1.22,0.17,0.664
2008-03-10,7.6,139,7.2,NaN,NaN,142.0,37,116,0,6.61,18,0,0,0.11,0.05,0.021,0.47,0.05,0.191
2008-03-21,7.8,71,7.6,10.2,16,170.0,47,96,3,6.98,76,0,0,0.14,0.05,0.072,0.38,0.06,0.11
2008-04-08,6.6,130,14.3,NaN,38.7,180.0,34,112,20,7.12,28,0,0,0.11,0.05,0,0.45,0.1,0.162
2008-05-09,7.8,241,16.1,NaN,36.7,270.0,63,184,6,7.06,62,0,0,0.11,0.03,0,0.3,0.05,0.032
2008-06-09,7.8,434,22.1,NaN,NaN,532.0,90,284,0,7.3,72,0,0,0.16,0.07,0,0.29,0.07,0.025
2008-07-21,7.4,681,24,NaN,7.44,713.0,122,403,0,7.34,92,0,0,0.07,0.05,0,0.26,0.06,0.162
2008-08-04,8.6,637,21.4,NaN,3.36,662.0,174,352,0,7.36,108,61,0,0,0.05,0,0.17,0.06,0.045
2008-09-04,7.8,764,22.9,6.4,0.57,908.0,219,684,0,6.64,112,0,0,0.13,0.08,0.021,0.3,0.1,0.082
2008-10-10,8.5,926,16,NaN,2.87,952.0,295,722,0,7.28,114,0,0,0.07,0.04,0,0.11,0.07,0.049
2008-11-10,7.9,925,8.2,NaN,2.5,925.0,250,540,0,7.28,160,0,0,0.06,0.04,0,0.08,0.05,0
2009-01-06,8,276,5.9,NaN,35,306.0,73,153,1,6.92,56,0,0,0.21,0.08,0,0.45,0.09,0.054
2009-02-06,7.9,113,0.3,NaN,NaN,171.0,29,128,7,6.63,28,0,0,0.31,0.1,0,0.47,0.12,0.142
2009-03-12,8,263,7.1,NaN,28.1,316.0,71,174,0,7.6,116,0,0,0.1,0,0,0.27,0.05,0.111
2009-04-21,7.8,203,13.1,10.1,62,248.0,51,132,2,6.67,26,0,0,0,0,0,0.17,0.07,0.034
2009-09-28,7.4,299,12.6,8.7,25.7,266.0,78,192,6,7.0,40,0,0,0.29,0.07,0,0.47,0.16,0.134
2009-10-19,7.1,337,7.5,NaN,10.4,335.0,91,213,1,7.3,72,0,0,0.1,0.06,0,0.29,0.08,0.037
2009-11-24,7.6,485,9.9,NaN,7.59,482.0,139,294,0,7.07,130,0,0,0.19,0.08,0,0.32,0.09,0.022
2009-12-14,7.1,162,6.6,NaN,62.2,158.0,47,90,5,6.71,40,0,0,0.09,0,0,0.25,0.07,0.038
2010-01-19,6.7,148,3.9,NaN,65,127.0,40,65,2,6.9,52,0,0,0.09,0,0.022,0.24,0.09,0.107
2010-02-11,7.1,97,-2,NaN,80,136.0,49,68,0,7.03,32,0,0,0.14,0,0.027,0.25,0.09,0.037
2010-03-09,7.2,270,4,NaN,40,224.0,69,152,4,6.96,32,0,0,0.06,0,0,0.19,0.09,0.038
2010-04-28,7.9,282,11,1.8,33.3,269.0,85,234,2,6.9,36,0,0,0,0,0,0.2,0.05,0
2010-06-09,8,474,21.1,NaN,9.46,440.0,135,292,0,7.01,94,0,0,0,0,0,0.17,0.06,0.034
2010-07-30,7.9,400,23.3,NaN,17.8,387.0,124,309,0,6.89,76,0,0,0,0,0,0.41,0.08,0.049
2010-08-31,8.3,581,25,NaN,9.7,688.0,186,473,4,7.68,166,0,0,0.09,0.04,0.027,0.38,0.06,0.045
2010-09-25,7.7,592,20.2,10,1.83,743.0,78,558,0,7.56,126,0,0,0.21,0.05,0,0.27,0.05,0.061
2010-10-29,7.6,485,11.5,NaN,11.6,594.0,56,397,0,7.81,78,0,0,0.06,0,0,0.22,0.04,0.049
2010-11-09,7.9,310,7.7,NaN,8.04,546.0,62,351,0,7.45,76,0,0,0,0,0,0.36,0.03,0
2010-12-22,8.1,238,1.8,NaN,11.8,314.0,73,227,0,7.32,46,0,0,0.29,0.11,0,0.55,0.13,0.039
2011-01-24,7.9,113,1.1,NaN,NaN,188.0,27,146,5,6.94,46,0,0,0.06,0.04,0,0.34,0.04,0.087
2011-02-02,8.4,218,2.7,NaN,47.1,173.0,24,163,17,6.98,26,0,0,0.12,0,0,0.76,0.03,0.59
2011-03-14,7.9,177,6.7,NaN,NaN,174.0,44,89,2,7.12,26,0,0,0.11,0.04,0.031,0.66,0.06,0.389
2011-04-26,7.9,246,18.2,8.3,62.4,222.0,35,116,4,7.1,56,0,0,0.09,0.02,0,0.31,0.03,0.081
2011-05-23,7.9,155,15.7,NaN,23,132.0,19,77,64,6.78,26,0,0,0.07,0,0,1.21,0.05,0.021
2011-06-02,7.9,494,17.2,NaN,8.98,471.0,33,294,0,8.04,106,0,0,0,0.04,0,0.18,0.04,0
2011-07-05,8,515,23.2,NaN,13.2,482.0,132,344,10,7.35,56,0,0,0,0,0,0.56,0.06,0.099
2011-08-03,8.3,999,21.2,NaN,6.12,961.0,103,773,164,8.52,396,0,0,0,0,0.063,2.04,0.24,0.643
2011-09-24,8,369,17.2,NaN,NaN,400.0,94,260,10,7.63,52,0,0,0.1,0.06,0,0.77,0.1,0.264
