TS028,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-10-11,8.2,478,16.8,16.5,6.4,604,101,408,0,7.67,168,0,0,0.08,0,0.046,0.13,0,0.047
2002-11-06,7.8,268,10.5,10.5,,274,87,180,77,7.53,58,0,0,0.14,0.07,0.6,2.21,0.26,1.5
2002-12-10,8,194.4,3.1,6.63,157.93,230,70,156,0,7.3,20,0,0,0.08,0.04,0.036,0.19,0.05,0.133
2003-01-08,7.8,205.6,5,,,248,75,128,0,6.68,24,0,0,0,0.04,0,0.21,0.04,0.131
2003-02-12,7.0,243.0,3.7,,,282,90,152,7,7.42,30,0,0,0.18,0.08,0.036,0.23,0.13,0.041
2003-03-07,7.3,263.1,8.5,,,322,55,168,19,7.23,26,0,0,0,0.07,0.026,0.41,0.08,0.203
2003-04-08,7,114.3,10.6,,,121,39,84,28,7.35,48,0,0,0.11,0.03,0.054,0.51,0.08,0.187
2003-05-05,8.1,243.6,16.3,,,296,106,168,5,7.11,42,0,0,0.08,0.03,0.064,0.2,0.04,0.074
2003-06-11,7.5,223.5,19.3,,,251,92,160,14,7.47,26,0,0,0,0,0.031,0.42,0.03,0.207
2003-07-03,8,355.1,21.1,,,384,108,248,7,7.88,58,0,0,0,0,0.057,0.24,0,0.142
2003-08-04,8,358.3,25.1,,,397,77,256,14,6.86,92,0,0,0,0,0.125,0.54,0.05,0.343
2003-09-11,7.5,306.2,19.8,,,360,126,220,1,7.81,36,0,0,0.09,0,0.034,0.31,0,0.071
2003-10-16,7.5,214.4,14.5,,,248,77,144,4,6.7,56,0,0,0.11,0,0.053,0.44,0,0.203
2003-11-23,7,237.3,10,,,240,73,132,9,7.76,86,0,0,0.06,0.05,0,0.38,0.06,0.12
2003-12-18,7,159.5,4.1,,,152,46,152,18,6.18,28,0,0,0.06,0.04,0.035,0.76,0.08,0.34
2004-01-23,7.0,214.4,.9,,,234,74,120,5,7.09,128,0,0,0.07,0.06,0.02,0.19,0.06,0.079
2004-02-12,7.0,223.7,4.7,,,251,70,132,3,7.05,62,0,0,0,0.05,0.022,0.22,0.05,0.081
2004-03-13,7.5,226.8,8.2,,,250,62,128,5,7.16,132,0,0,0,0.04,0.081,0.21,0.04,0.134
2004-04-19,8.2,231.3,17.3,,300,255,75,128,4,7.1,46,0,0,0.06,0,0.051,0.21,0,0.198
2004-05-21,8,419.1,21.5,,54,467,182,308,2,6.64,84,0,0,0,0,0.04,0.14,0,0.069
2004-06-25,7.7,228.2,18.9,,,241,62,164,46,7.53,88,0,0,0.43,0.04,0.177,0.42,0.05,0.239
2004-08-02,7.5,402.6,25.7,,,413,110,256,2,8.08,76,0,0,0.09,0,0.03,0.28,0,0.171
2004-08-17,8,402,22.6,,,413,49,232,2,7.58,98,0,0,0.06,0,0.024,0.36,0,0.172
2004-09-15,8.6,356.3,21.5,,68,366,83,204,3,7.31,76,0,0,0,0,0.089,0.31,0.03,0.206
2004-10-27,7.5,188.4,15.2,,,239,50,148,9,6.9,46,0,0,0.35,0.1,0.06,0.46,0.11,0.16
2004-11-23,7.2,630.8,12.9,,72,991,25,500,0,6.91,28,0,0,0,0,0.047,0,0,0.055
2004-12-28,7,274.7,0.7,,164,274,60,224,7,6.76,42,0,0,0.07,0.13,0.064,0.24,0.13,0.128
2005-01-17,7.0,177.0,1.2,,,173,40,92,5,6.51,48,0,0,0.33,0.07,0.032,0.34,0.08,0.143
2005-02-08,7.0,208.0,9.1,,,233,51,120,7,6.64,34,0,0,0.06,0.04,0.07,0.22,0.04,0.165
2005-03-28,7,211.5,12.3,,,253,39,128,23,6.68,44,0,0,0.07,0.05,0.072,0.49,0.06,0.205
2005-04-22,7.5,357.1,18.4,11.6,114,356,87,244,10,7.0,56,0,0,0.09,0,0.203,0.43,0.05,0.26
2005-06-04,8.3,387.6,20.2,,,404,69,396,14,7.18,78,0,0,0.2,0.05,0.062,0.42,0.16,0.064
2005-06-22,7.5,503,24.6,,,513,107,324,1,7.29,82,0,0,0,0,0.064,0.1,0,0.151
2005-08-16,7.5,445.3,25.1,,23,424,80,388,0,7.44,66,0,0,0.08,0,0.062,0.15,0,0.093
2005-08-27,7.9,346.9,21.4,,,369,5,192,80,7.19,92,0,0,0.4,0.05,0.38,1.89,0.19,0.788
2005-10-08,8.1,538,18,9.01,12,556,110,464,0,7.46,104,0,0,0.12,0,0.024,0.28,0,0.128
2005-12-07,8.1,257,2.2,NaN,NaN,266,62,176,0,8.1,202,0,0,0.13,0,0.05,0.38,0.05,0.108
2006-01-17,7.7,250.7,4.7,NaN,NaN,260,59,156,4,6.93,38,0,0,0.07,0.08,0,0.27,0.08,0.076
2006-02-15,7.2,280.3,4.6,NaN,NaN,297,103,224,3,6.4,24,0,0,0.25,0.1,0.029,0.45,0.12,0.091
2006-03-27,8.4,209.7,5.2,NaN,99.4,353,115,256,4,7.23,60,0,0,0.06,0.06,0,0.28,0.08,0.093
2006-05-04,8.4,239.9,18.0,9.88,145.9,303,69,176,1,7.23,140,0,0,0.1,0.04,0,0.33,0.06,0
2006-06-06,8.3,469.6,22.7,NaN,37.4,498,98,292,2,6.98,84,0,0,0.07,0.03,0.02,0.16,0.04,0.075
2006-06-24,8.3,454.5,23.4,NaN,65.6,511,99,348,9,7.2,90,0,0,0.08,0.04,0.057,0.27,0.08,0.161
