TS140,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-10-25,8,350.5,10.9,6.81,22.41,326,100,200,0,7.59,,0,0,0,0,0.5,0.06,0,0.6
2002-11-27,7.6,170.8,5.4,6.21,182.21,129,31,104,0,7.24,16.0,0,0,0,0,0.042,0.1,0,0.126
2002-12-13,7.6,115,6.1,,204.18,132,41,84,2,6.59,14.0,0,0,0.09,0,0.042,0.11,0,0.106
2003-02-06,7.7,123.6,3.5,,132.59,119,47,80,0,6.82,16.0,0,0,0.07,0,0.024,0.12,0,0.046
2003-03-04,7.0,149.4,3.6,,133.85,156,93,124,19,7.16,20.0,0,0,0,0,0,0.16,0.06,0.203
2003-03-28,7.3,278,15.3,,28.92,272,111,196,6,7.47,62.0,0,0,0,0,0.025,0,0,0.025
2003-04-23,7,201.8,12.4,,88,199,80,108,1,6.81,18.0,0,0,0,0,0,0.06,0,0.028
2003-05-16,7.5,234.9,15.9,,81,240,98,148,2,7.04,34.0,0,0,0,0.03,0.032,0.13,0.04,0.091
2003-06-13,7.3,170.6,17.3,,124,170,65,116,8,7.2,30.0,0,0,0.07,0,0.027,0.15,0,0.084
2003-07-23,7.5,401.9,20,,19.4,396,55,300,12,7.14,62.0,0,0,0,0,0.032,0.19,0.03,0.142
2003-08-23,8,504,24.4,,16.2,545,123,392,1,7.44,70.0,0,0,0,0,0.02,0.09,0,0.07
2003-09-25,7.5,269.7,14.9,,55,288,114,216,2,6.78,92.0,0,0,0,0,0.026,0.1,0,0.062
2003-10-25,7.5,329.7,8.1,,22,360,197,276,0,7.34,18.0,0,0,0,0,0.039,0.06,0,0.054
2003-12-05,7,238.3,6.7,,78.3,233,87,136,1,6.87,24.0,0,0,0,0.03,0,0,0.03,0.099
2003-12-30,7,238.9,5.4,11.2,123,270,72,160,7,7.08,28.0,0,0,0,0,0.051,0.16,0,0.166
2004-01-30,7.0,255.9,.1,,,281,90,160,10,7.51,94.0,0,0,0,0,0,0,0,0.029
2004-03-04,7.5,524.0,10.8,,20,549,125,320,4,7.43,38.0,0,0,0,0,0.062,0.06,0,0.069
2004-04-05,7,152,5.9,12.45,,153,46,84,3,6.47,24.0,0,0,0,0,0.053,0.25,0,0.12
2004-04-24,7.8,348.8,13.7,,68,394,140,284,0,7.15,46.0,0,0,0,0,0.033,0.08,0,0.089
2004-05-26,8,333.4,18.1,,54,344,117,224,3,7.08,48.0,0,0,0,0,0.034,0.08,0,0.042
2004-06-15,8,433.1,20.3,,67,398,182,348,5,7.07,60.0,0,0,0,0,0,0.08,0,0.028
2004-07-22,7.5,903,20.7,,12,805,290,704,0,7.61,78.0,0,0,0,0,0.027,0,0,0.029
2004-08-30,7.8,913,22.2,,23,1014,118,852,5,8.05,98.0,0,0,0,0,0,0,0,0
2004-10-06,7.9,495.6,12.5,,61,506,54,452,2,7.29,222.0,0,0,0,0,0.028,0.07,0,0.035
2004-11-04,7.6,202.8,12.8,,,187,49,120,12,6.7,34.0,0,0,0.07,0,0,0.26,0.05,0.164
2004-11-27,7,163.1,7.8,,201,147,38,88,0,6.68,26.0,0,0,0,0,0.026,0.07,0,0.052
2005-01-06,7,215.2,10.8,,,218,41,128,0,7.02,24.0,0,0,0,0,0.065,0.08,0,0.125
2005-02-25,6.5,223.1,4.1,,126,192,40,100,3,6.9,18.0,0,0,0,0,0.082,0.06,0.03,0.152
2005-04-04,7.0,152.0,12.2,,,139,22,100,12,6.45,20.0,0,0,0,0,0,0.15,0,0.06
2005-05-04,6.5,211.1,12.6,,109,197,44,180,3,6.77,28.0,0,0,0,0,0.073,0.07,0,0.085
2005-06-01,8.2,427.6,18.7,,21,418,88,408,1,7.25,46.0,0,0,0,0,0.022,0,0,0.027
2005-07-06,7.5,928,23.8,,10,924,228,736,0,7.61,114.0,0,0,0,0,0.026,0,0,0.035
2005-08-11,7.5,939,24.7,,5,904,246,708,2,7.83,106.0,0,0,0,0,0,0,0,0.023
2005-11-09,7,220.1,13.1,NaN,NaN,223,74,220,107,6.85,32.0,0,0,0.74,0.28,2.4,3.51,0.8,10.7
2005-12-15,7.9,275.4,3.4,NaN,46.8,278,79,176,0,7.28,144.0,0,0,0,0,0,0.15,0,0
2006-02-02,7.6,220.9,7.9,NaN,87.4,244,104,176,5,6.78,24.0,0,0,0,0.03,0.023,0.06,0.03,0.023
2006-03-06,8,232.9,3.4,NaN,34.9,469,215,356,5,7.14,48.0,0,0,0,0,0,0.06,0,0.041
2006-03-23,7.9,70.8,6.2,NaN,NaN,397,121,260,2,6.46,44.0,0,0,0,0,0,0,0,0.025
2006-05-08,7.9,455.0,12.6,NaN,30.5,469,172,272,0,7.05,36.0,0,0,0,0,0,0.22,0.04,0.038
2006-06-02,8.0,615.0,21.4,NaN,13.2,636,182,384,2,7.29,76.0,0,0,0,0,0,0.06,0,0.024
2006-06-30,7.6,280.2,16.6,NaN,68.7,283,79,179,0,7.18,34.0,0,0,0,0.06,0.026,0.12,0.06,0.141
2006-08-09,8.2,888,22.7,NaN,9.08,871,273,492,8,7.41,66.0,0,0,0,0,0.044,0,0,0.092
2006-09-05,7.8,812,19.4,8,21.5,958,169,940,3,7.33,38.0,0,0,0,0,0,0.07,0,0.076
2006-09-15,7.4,1114,17.6,NaN,7.06,1091,432,882,7,6.92,78.0,0,0,0,0,0,0.07,0,0.032
2006-10-20,7,558,12.5,NaN,44.9,591,283,364,0,7.01,56.0,0,0,0.08,0,0,0.13,0,0.037
2006-12-12,8.1,527,3,NaN,NaN,515,194,356,0,7.1,60.0,0,0,0.07,0,0.04,0.08,0,0.048
2007-01-04,7.4,248.8,5.2,NaN,101.8,265,88,144,2,6.88,20.0,0,0,0,0,0.048,0.06,0,0.118
2007-03-20,7.7,194,7.2,10.1,156,189,73,96,6,6.48,22.0,0,0,0,0,0.029,0.13,0.04,0.06
2007-05-09,7.9,428,18.8,NaN,21.8,468,144,296,6,7.14,42.0,0,0,0.06,0,0.039,0.15,0,0.094
2007-06-14,7.8,811,20.1,NaN,12.5,811,324,628,3,7.36,70.0,0,0,0,0,0,0.12,0,0.197
2007-07-20,7.5,510,19.2,NaN,37.3,510,140,424,36,7.69,46.0,0,0,0,0,0.074,0.61,0.09,0.436
2007-08-14,8.7,958,22.1,NaN,NaN,1010,246,792,1,7.82,146.0,0,0,0,0,0,0.06,0,0.026
2007-09-07,8.3,852,23.1,NaN,0.402,940,213,656,0,7.18,144.0,0,0,0,0.04,0.053,0.07,0.05,0.113
2007-10-04,8.1,777,20.5,9,1.81,907,191,656,1,7.78,76.0,0,0,0.07,0,0.02,0.09,0,0.03
2007-11-10,8.1,631,6.6,NaN,11.7,669,156,480,1,7.59,56.0,0,0,0,0,0,0.11,0,0.048
2007-12-08,7.4,183,5.1,NaN,75.3,367,702,212,1,7.27,60.0,0,0,0,0,0.056,0.21,0,0.295
2008-01-11,7.4,273,8.9,NaN,NaN,271,67,188,7,7.26,42.0,0,0,0.06,0,0.204,1.25,0.09,0.228
2008-02-08,6.9,172,4.9,NaN,21.3,181,55,96,0,6.87,20.0,0,0,0,0,0,0.27,0.05,0.141
2008-03-12,7.4,255,4.4,12.4,NaN,300,83,172,4,6.74,28.0,0,0,0.14,0,0.07,0.2,0,0.102
2008-04-30,6.6,277,19.9,NaN,46.8,331,99,204,1,6.75,30.0,0,0,0,0,0.044,0,0,0.082
2008-05-06,8.2,192,14.6,NaN,31.1,366,93,200,0,6.64,32.0,0,0,0,0,0.033,0.06,0,0.05
2008-06-23,8.3,891,19.8,NaN,34.36,948,249,692,3,7.47,80.0,0,0,0,0,0,0.08,0,0.115
2008-07-03,8.2,337,19.8,NaN,6.89,634,138,496,1,7.16,56.0,0,0,0,0,0.032,0,0,0.049
2008-08-06,8.2,539,21.5,NaN,24.8,532,114,376,0,7.06,74.0,0,0,0.08,0,0,0.14,0,0.072
2008-09-22,8.2,1170,17.7,7.9,3.48,1329,254,997,9,7.15,148.0,0,0,0,0,0.021,0,0,0.024
2008-10-13,8.4,1271,13.1,NaN,1.12,1291,314,1138,0,7.0,88.0,0,0,0,0,0,0,0,0
2008-11-25,7.9,334,4.8,NaN,NaN,324,54,184,33,6.5,48.0,0,0,0,0.05,0.023,0.68,0.23,2
2009-01-08,7.9,96,0.5,NaN,NaN,151,53,78,8,6.17,14.0,0,0,0.22,0.03,0.023,0.36,0.05,0.118
2009-02-13,7.8,103,6.3,NaN,70.5,105,23,58,0,7.19,30.0,0,0,0,0,0.028,0.11,0,0.039
2009-03-26,8,385,9.4,NaN,60.8,434,112,326,1,6.64,68.0,0,0,0,0,0.066,0.1,0,0.159
2009-04-07,7.6,191,5.9,11.5,246,186,51,149,0,7.26,80.0,0,0,0,0,0.031,0.17,0.05,0.141
2009-09-24,7.8,1050,19.9,8,2.75,1010,276,529,6,7.55,124.0,0,0,0,0,0.035,0.08,0,0.047
2009-10-20,7.8,385,9.5,NaN,29.3,361,76,199,0,7.42,60.0,0,0,0,0,0.032,0,0,0.076
2009-11-16,8.2,561,13.3,NaN,16.4,524,121,276,0,6.91,40.0,0,0,0.09,0,0.043,0.12,0.06,0.05
2009-12-14,7,236,8.3,NaN,84.5,236,80,120,10,6.51,40.0,0,0,0,0,0,0.1,0,0.032
2010-01-18,6.9,139,6.4,NaN,150,124,44,69,0,6.62,64.0,0,0,0.09,0,0,0.79,0.09,0
2010-02-22,7.2,422,5.5,NaN,76,412,143,306,1,7.23,32.0,0,0,0,0,0,0.09,0.03,0.036
2010-03-15,7.4,262,6.9,NaN,198,252,81,178,8,6.86,24.0,0,0,0,0,0.023,0.09,0,0.123
2010-04-12,7.3,326,14.4,NaN,63.9,305,117,212,1,6.75,40.0,0,0,0,0,0.023,0.06,0,0.051
2010-05-04,7.3,177,18,10.7,209,178,59,131,3,6.21,28.0,0,0,0,0,0.035,0.08,0,0.117
2010-06-17,7.5,555,20.4,NaN,25.3,516,119,357,1,7.29,56.0,0,0,0,0,0,0.08,0,0.069
2010-07-27,8.6,864,26.8,NaN,13,781,138,712,0,8.02,86.0,0,0,0,0,0.068,0,0,0.069
2010-08-25,8.1,316,22.4,NaN,16.9,1229,222,1,0,7.33,38.0,0,0,0,0,0,0,0,0.032
2010-09-28,7.9,1006,16.5,11.6,4.71,1401,74,1389,0,7.84,96.0,0,0,0,0,0,0,0,0
2010-10-20,8.4,1098,9.8,NaN,4.32,922,108,799,0,8.41,114.0,0,0,0,0,0.026,0.09,0,0.066
2010-11-19,7.9,556,7.9,NaN,17.8,480,112,379,2,7.25,56.0,0,0,0,0,0,0,0,0
2010-12-21,7.8,500,3.5,NaN,10,374,109,187,0,7.6,56.0,0,0,0.19,0.13,0,0.49,0.16,0
2011-01-20,7.9,571,0.1,NaN,NaN,34,5,27,0,6.08,16.0,0,0,0,0,0,0.17,0,0.128
2011-02-24,8.7,402,5.7,NaN,283,362,73,254,0,6.94,30.0,0,0,0,0,0,0.08,0,0.065
2011-03-11,7.8,204,4.2,NaN,NaN,150,42,77,1,7.13,16.0,0,0,0,0.03,0.03,0.52,0.06,0.254
2011-04-30,7.5,163,10.5,NaN,NaN,98,18,52,3,6.8,26.0,0,0,0.06,0.06,0.033,0.21,0.07,0.171
2011-05-11,7.7,121,12.9,NaN,NaN,108,25,56,14,6.72,36.0,10,0,0,0,0.052,0.13,0.02,0.068
2011-06-01,8,541,17.2,NaN,13.3,586,61,389,0,7.73,76.0,0,0,0,0,0.022,0,0,0.029
2011-07-24,7.9,1035,25.3,NaN,7.94,972,161,852,0,7.9,116.0,0,0,0,0,0.065,0.06,0,0.14
2011-08-08,8,1157,25,NaN,7.6,1100,133,1008,2,7.88,66.0,0,0,0,0,0,0,0,0.025
2011-09-08,8.2,587,23.7,NaN,NaN,556,79,552,382,7.11,76.0,0,0,0,0.03,0,1.64,0.29,0.43
2011-10-14,8.1,287,15.4,8.6,NaN,445,101,313,0,6.96,60.0,0,0,0.08,0,0.065,0.35,0.06,0.294
2011-11-01,8,346,11.7,NaN,19.9,363,81,234,5,7.02,46.0,0,0,0,0,0.053,0.21,0.04,0.207
2011-12-06,8.3,453,9.4,NaN,24.2,439,111,300,8,7.15,28.0,0,0,0.11,0,0.04,0.11,0,0.056
2012-01-25,8.2,373,2.3,NaN,34,350,68,207,5,7.09,18.0,0,0,0,0,0,0.1,0.04,0.068
2012-02-10,8.2,414,3.6,NaN,61.7,389,85,259,4,7.28,50.0,0,0,0,0,0.048,0.16,0,0.347
2012-03-13,8.1,383,6.4,NaN,24.1,349,94,298,3,7.38,42.0,0,0,0,0,0.044,0.11,0,0.077
2012-04-26,8.1,422,7.3,NaN,NaN,396,72,289,60,6.7,38.0,0,0,0,0,0.032,1.33,0.17,0.598
2012-05-14,7.9,493,10.2,8.8,NaN,453,83,312,2,7.61,52.0,0,0,0,0,0.086,0.3,0.03,0.201
2012-06-29,8.1,1423,15,NaN,3.38,1400,41,1253,7,8.0,94.0,0,0,0,0,0.079,0,0,0.124
2012-07-11,8.1,511,14.9,NaN,1,426,11,269,0,7.64,52.0,0,0,0.21,0,0,0.32,0,0.022
2012-08-07,7.9,511,15.5,NaN,NaN,466,8,338,0,7.74,66.0,0,0,0,0,0.043,0.08,0,0.064
2012-09-20,7.9,497,16.5,8,1.92,727,68,693,5,7.74,74.0,0,0,0,0,0.027,0.34,0,0.181
2012-10-16,8.1,611,15.2,8.6,4.02,1040,27,769,0,8.27,90.0,0,0,0,0,0,0,0,0.028
2012-11-23,8,141,5.8,NaN,1.72,577,82,349,0,7.64,52.0,0,0,0.15,0,0.03,0.25,0,0.062
2012-12-12,7.8,121,4.3,NaN,NaN,108,1,54,0,7.1,48.0,0,0,0,0,0,0.32,0.04,0.164
2013-01-28,8,575,6.7,NaN,NaN,586,58,347,14,7.71,122.0,0,0,0,0,0,0,0.08,0.154
2013-02-27,7.9,621,5.6,NaN,NaN,538,85,285,55,8.13,116.0,0,0,0,0.07,0.049,0,0.08,0.063
2013-03-19,7.8,214,6,NaN,NaN,224,33,144,0,7.11,20.0,0,0,0,0,0,0,0,0
2013-04-20,8.1,251,8.5,7.4,3.69,272,28,201,8,7.31,26.0,0,0,0,0.08,0,0.06,0.1,0
2013-05-23,8.1,740,16.1,NaN,NaN,719,65,521,1,8.08,164.0,0,0,0,0,0,0,0,0.038
2013-06-12,7.9,534,15.5,NaN,15,578,82,407,0,7.62,64.0,0,0,0,0,0.026,0,0.03,0.034
2013-07-30,7.8,562,16.1,NaN,NaN,605,89,363,0,8.03,114.0,0,0,0,0,0,0,0.06,0.04
2013-08-20,8.3,502,16.4,NaN,NaN,463,61,371,11,8.39,138.0,0,0,0,0,0,0,0,0.031
2013-09-16,7.8,265,16.8,8.2,4.53,543,85,374,7,8.2,116.0,0,0,0,0,0,0,0,0.022
