TS126,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-10-30,7.8,156,12.1,8,,131,64,92,12,6.64,16,0,0,0.11,0.13,0.5,0.97,0.17,0.8
2002-11-30,7.6,304.3,5.4,9.31,,273,71,172,3,7.35,28,0,0,0.14,0.12,0.034,0.21,0.12,0.104
2002-12-13,7.5,199.2,4.7,,,245,71,152,7,6.75,16,0,0,0.11,0.11,0.046,0.34,0.13,0.164
2002-12-30,7.4,284.1,3.6,,,311,105,204,0,7.21,40,0,0,0.18,0.19,0,0.33,0.19,0.096
2003-02-06,7.7,194.3,2.6,,,187,83,108,0,7.09,24,0,0,0.25,0.12,0.098,0.3,0.14,0.106
2003-03-04,7,268,4.6,,,272,108,204,2,7.22,18,0,0,0.1,0.13,0.04,0.27,0.14,0.086
2003-03-28,7.9,390,13.3,,,418,175,324,13,7.4,60,0,0,0,0.29,0,0.37,0.3,0.056
2003-04-23,7,230.7,12.3,,,251,94,144,3,6.78,32,0,0,0.09,0.14,0.032,0.3,0.14,0.058
2003-05-28,7,294.3,14.3,,,281,104,144,0,7.03,40,0,0,0.13,0.18,0.049,0.48,0.19,0.142
2003-06-23,7.2,238,18,,,254,102,164,3,7.01,40,0,0,0.15,0.15,0.025,0.42,0.16,0.071
2003-07-23,7.5,469.8,20,,,462,85,356,4,7.3,96,0,0,0,0.27,0.054,0.58,0.32,0.097
2003-09-25,7.3,262.4,14,,,271,121,200,1,6.62,66,2,0,0.17,0.13,0,0.43,0.13,0.04
2003-10-24,7.5,355.6,9.9,,,368,70,260,1,7.0,66,0,0,0.15,0.15,0.035,0.51,0.06,0.087
2003-12-05,7,307.8,5.5,,,302,116,160,1,6.88,36,0,0,0.14,0.14,0,0.29,0.15,0.089
2004-01-05,7,206.9,8.5,,,218,69,112,27,7.14,32,0,0,0.1,0.06,0.062,0.47,0.07,0.309
2004-02-03,7.0,393.6,0.3,,,414,92,264,1,6.66,56,0,0,0.21,0.3,0.041,1.03,0.34,0.291
2004-03-02,7,383.6,9.9,,,402,194,260,1,7.26,52,0,0,0.11,0.27,0.044,0.41,0.27,0.069
2004-04-05,7,175,4.9,,,171,51,96,6,6.49,26,0,0,0.1,0.08,0.055,0.34,0.08,0.188
2004-04-24,7.4,354.3,13.9,,,399,15,208,10,7.06,54,0,0,0.23,0.24,0.153,0.53,0.25,0.154
2004-05-26,7.3,269.6,17.9,,,284,82,172,9,6.81,74,0,0,0.22,0.25,0.155,0.71,0.28,0.227
2004-06-15,7.8,400.1,20.3,,,418,146,308,12,7.02,66,0,0,0.09,0.23,0.027,0.56,0.26,0.094
2004-07-22,7.5,575,20.8,,,543,126,496,3,7.2,94,0,0,0,0.15,0,0.56,0.16,0.069
2004-09-01,7.5,445.7,21.3,,,372,78,368,1,7.27,88,0,0,0.14,0.1,0,0.66,0.11,0
2004-10-06,7.5,333.3,11.8,,,338,90,288,4,6.95,94,0,0,0.06,0.16,0,0.49,0.18,0.07
2004-11-04,7,225.1,12.3,,,197,43,120,39,6.72,54,0,0,0.18,0.22,0.02,2.03,0.32,1
2004-11-27,6.5,188.4,7.1,,,167,45,116,0,6.72,50,0,0,0.08,0.08,0,0.33,0.09,0.065
2005-01-06,6.5,186.7,10.1,,,176,31,116,3,6.94,30,0,0,0.11,0.09,0.109,0.37,0.1,0.199
2005-02-25,6.5,235.8,3.6,,,193,41,100,3,6.92,32,0,0,0.1,0.13,0.106,0.31,0.17,0.294
2005-03-30,6.5,173.1,12.5,,,168,26,96,20,6.52,28,0,0,0.06,0.04,0.039,0.21,0.05,0.104
2005-05-04,7.0,234.3,13.1,,,232,48,120,4,6.77,44,0,0,0.09,0.12,0.072,0.3,0.13,0.097
2005-06-03,7.5,348.1,15.8,,,343,83,332,7,6.85,58,0,0,0.12,0.3,0,0.54,0.32,0.119
2005-06-29,7.5,479.4,21.9,,,434,111,428,16,7.83,152,0,0,0.34,0.5,0.111,1.02,0.53,0.112
2005-08-11,7.5,468,24.3,,,446,85,272,0,7.71,98,0,0,0.1,0.12,0.065,0.48,0.12,0.208
2005-11-09,7.1,120.2,11.8,NaN,NaN,119,39,112,142,6.54,26,0,0,0.64,0.47,0.314,2.22,0.62,3
2005-12-19,8,279.5,2.2,NaN,NaN,280,77,200,0,6.71,36,0,0,0.15,0,0,0.44,0,0
2006-02-02,7.7,231,6.4,NaN,NaN,267,103,164,4,6.83,28,0,0,0.14,0.19,0,0.28,0.2,0.047
2006-03-06,7.6,357.2,3.6,NaN,NaN,382,171,260,15,6.84,56,0,0,0.2,0.25,0.026,0.61,0.26,0.141
2006-03-23,7.5,304.2,6,NaN,NaN,332,91,196,3,6.6,58,0,0,0.14,0.3,0.027,0.46,0.3,0.079
2006-05-08,7.7,343.0,12.4,NaN,NaN,368,108,220,1,6.85,52,0,0,0.1,0.32,0,0.64,0.33,0.049
2006-06-02,7.9,424.1,22.0,NaN,NaN,460,83,348,1,7.1,66,0,0,0.14,0.26,0.02,0.67,0.27,0.073
2006-06-30,7.4,206.3,15.8,NaN,NaN,250,65,148,0,6.86,42,0,0,0.07,0.23,0.023,0.29,0.26,0.142
2006-08-09,7.9,436.9,22.3,NaN,NaN,479,99,332,6,7.27,56,0,0,0.12,0.18,0,0.44,0.18,0.098
2006-09-05,8,569,18.6,NaN,NaN,632,108,484,2,7.49,44,0,0,0.12,0.05,0,0.56,0.05,0.277
2006-09-15,7.5,484,17.5,NaN,NaN,579,148,312,5,6.69,110,0,0,0.11,0,0,0.58,0,0.036
2006-10-20,7,293,12.2,NaN,NaN,318,128,180,0,6.89,44,0,0,0.24,0,0,0.45,0.04,0.085
2006-12-12,8.3,358.9,3.4,NaN,NaN,396,112,268,0,7.11,72,0,0,0.34,0.4,0,0.7,0.4,0
2007-01-04,7.4,236.4,4.7,NaN,NaN,252,91,136,2,6.91,30,0,0,0.2,0.16,0,0.36,0.18,0.073
2007-03-14,7.4,352.8,10.7,NaN,NaN,378,115,212,0,6.61,44,0,0,0.13,0.2,0.03,0.49,0.22,0.054
2007-05-09,7.7,409,18.4,NaN,NaN,445,165,296,5,7.38,48,0,0,0.12,0.23,0,0.42,0.23,0.083
2007-06-14,7.4,594,20.3,NaN,NaN,609,158,404,2,7.29,66,0,0,0.16,0.22,0.037,0.67,0.23,0.164
2007-07-20,7.9,224,18.1,NaN,NaN,243,67,148,44,6.84,22,0,0,0.09,0.2,0.02,0.99,0.3,0.227
2007-08-03,7.8,349,21.4,NaN,NaN,454,86,256,3,7.33,98,0,0,0.09,0.25,0,0.47,0.25,0.148
2007-09-07,6.5,601,24,NaN,NaN,672,128,424,0,7.0,174,0,0,0.06,0.25,0,0.9,0.26,0.113
2007-10-04,8,599,22.1,NaN,NaN,678,145,476,1,8.0,182,0,0,0.13,0.11,0.043,1.19,0.12,0.245
2007-11-10,7.5,439,6.2,NaN,NaN,462,100,300,0,7.27,56,0,0,0.26,0.08,0,0.71,0.08,0.047
2007-12-10,7.4,68,12.3,NaN,NaN,130,38,76,0,6.58,58,0,0,0.07,0,0.047,0.4,0.04,0.252
2008-01-09,7.2,242,10.2,NaN,NaN,242,63,152,0,7.26,40,0,0,0.07,0,0.06,0.33,0,0.095
2008-02-08,7.2,161,4.3,NaN,NaN,172,53,88,0,6.91,20,0,0,0.09,0.04,0.029,0.27,0.04,0.059
2008-03-12,7.8,247,5.6,NaN,NaN,290,81,192,0,6.67,34,0,0,0.22,0,0.023,0.41,0.06,0.109
2008-04-24,7.6,235,20.7,NaN,NaN,249,75,176,1,7.49,52,0,0,0.16,0.09,0,0.35,0.1,0.074
2008-05-06,7.6,285,14.3,NaN,NaN,315,94,200,4,6.5,42,0,0,0.22,0.13,0.044,0.5,0.13,0.049
2008-06-23,7.8,508,20.7,NaN,NaN,557,99,352,4,6.83,72,0,0,0,0.28,0,0.57,0.28,0.117
2008-07-03,8,465.7,21.2,NaN,NaN,524,212,356,0,6.95,58,0,0,0.11,0.13,0,0.61,0.16,0.046
2008-08-06,8.1,377,21.4,NaN,NaN,377,84,256,5,6.8,76,0,0,0.11,0.12,0,0.48,0.13,0.036
2008-09-22,8.1,557,19.7,8.4,NaN,669,74,422,7,7.19,124,0,0,0.08,0.16,0,0.92,0.16,0.074
2008-10-13,7.6,601,14.8,NaN,NaN,612,144,493,0,6.78,94,0,0,0.08,0.18,0,0.35,0.2,0.028
2008-11-17,8.2,474,4.7,NaN,NaN,536,68,286,1,7.11,66,0,0,0.12,0,0,0.28,0,0.111
2009-01-08,7.8,80,0.9,NaN,NaN,128,48,73,9,6.23,14,0,0,0.2,0.03,0.022,0.33,0.04,0.139
2009-02-25,7,255,3.6,NaN,NaN,311,75,163,5,7.34,64,0,0,0.1,0.08,0.022,0.37,0.16,0.106
2009-03-26,7.2,291,10,NaN,NaN,338,79,190,1,6.84,46,0,0,0.07,0.08,0.037,0.28,0.11,0.17
2009-04-07,6.9,170,6.2,10.3,NaN,164,48,144,0,3.18,0,92,0,0,0,0.028,0.24,0.03,0.107
2009-09-24,7.6,591,19.9,NaN,NaN,591,134,327,0,7.43,104,0,0,0.31,0.09,0,0.78,0.19,0.04
2009-10-20,7.5,190,7.3,NaN,NaN,291,72,198,0,7.24,60,0,0,0.16,0.07,0.023,0.37,0.13,0.03
2009-11-16,7.6,379,12.7,NaN,NaN,374,128,201,3,6.82,36,0,0,0.44,0.09,0,0.6,0.26,0.119
2009-12-14,6.9,197,8.2,NaN,30,184,62,92,9,6.58,56,0,0,0.09,0,0,0.26,0.07,0.026
2010-01-18,6.7,122,5.3,NaN,100,112,37,78,0,6.47,40,0,0,0,0,0,0.19,0.06,0.021
2010-02-23,6.9,248,2.5,NaN,120,241,63,136,8,6.99,32,0,0,0.29,0,0,0.6,0.09,0.225
2010-03-16,7.1,234,7.1,NaN,150,218,73,158,0,6.58,24,0,0,0.12,0,0,0.23,0.09,0.115
2010-04-12,7.2,265,16.1,NaN,30,238,88,184,3,6.61,36,0,0,0.13,0,0,0.22,0.07,0.025
2010-05-04,7,130,19.7,NaN,100,130,44,104,0,6.6,36,0,0,0,0,0,0.18,0.06,0.085
2010-06-16,7.3,309,23.3,NaN,50,285,65,211,1,7.09,46,0,0,0.41,0,0.064,0.85,0.11,0.122
2010-07-27,7.9,465,23.7,NaN,10,446,72,385,0,7.47,78,0,0,0,0,0,0.27,0.16,0.052
2010-08-25,7.9,599,22.2,NaN,NaN,566,77,469,0,6.98,34,0,0,0.28,0,0,0.82,0.16,0.027
2010-09-28,7.1,505,16.4,9.1,12,695,174,589,0,7.78,86,0,0,0.11,0.06,0,0.57,0.06,0
2010-10-19,8,555,15,NaN,NaN,470,67,396,1,7.84,64,0,0,0.1,0,0,0.5,0.11,0
2010-11-19,7.9,346,7.5,NaN,NaN,303,87,220,18,7.09,56,0,0,0.15,0.08,0,0.54,0.09,0.03
2010-12-21,8.4,350,4,NaN,3.67,344,85,217,0,7.56,98,0,0,0.46,0.14,0,0.57,0.17,0.045
2011-01-20,8.1,211,0.1,NaN,NaN,64,16,36,18,6.01,6,20,0,0,0.02,0,0.14,0.02,0.078
2011-02-24,8.5,315,5.4,NaN,NaN,269,24,185,1,6.89,32,0,0,0.11,0.08,0,0.28,0.1,0.022
2011-03-11,7.1,141,3.8,NaN,NaN,130,39,85,2,6.96,16,0,0,0,0.04,0.025,0.34,0.05,0.268
2011-04-30,7.4,183,7.3,NaN,NaN,177,51,103,6,6.98,46,0,0,0.12,0.11,0.075,0.41,0.12,0.123
2011-05-11,7.7,368,12.4,NaN,NaN,364,80,210,9,7.08,66,0,0,0.09,0.04,0.024,0.2,0.04,0.083
2011-06-01,7.9,351,18,NaN,NaN,395,30,253,5,7.58,66,0,0,0,0.19,0.022,0.32,0.22,0.035
2011-07-24,7.7,457,25.7,NaN,NaN,439,134,262,2,7.7,76,0,0,0,0,0.034,0.35,0,0.08
2011-08-08,8,549,24.8,NaN,NaN,443,69,371,12,7.39,66,0,0,0.14,0.11,0,0.63,0.13,0.05
2011-09-08,6.8,310,23.5,NaN,NaN,355,89,235,31,7.16,72,0,0,0,0.08,0,0.34,0.09,0.038
2011-10-14,8.3,241,15.3,9,NaN,276,72,151,3,7.2,56,0,0,0.15,0.06,0.021,0.49,0.09,0.092
2011-11-01,8,78,11,NaN,NaN,230,47,136,5,6.85,36,0,0,0.11,0.06,0,0.24,0.06,0.085
2011-12-06,8.2,350,9,NaN,NaN,337,75,223,10,7.1,42,0,0,0.12,0.12,0,0.35,0.12,0.04
2012-01-11,7.6,330,5.8,NaN,NaN,304,58,218,3,7.23,40,0,0,0.18,0,0.034,0.37,0.03,0.057
2012-02-06,7.8,265,5.2,NaN,NaN,257,42,160,7,7.24,46,0,0,0.09,0,0,0.27,0.06,0.064
2012-03-13,7.9,301,6.5,NaN,NaN,287,66,178,5,7.18,32,0,0,0,0,0.033,0.35,0.1,0.077
2012-04-26,8.2,201,6.9,NaN,NaN,214,33,150,50,6.5,14,0,0,0.1,0.06,0,1.73,0.17,0.459
2012-05-14,8.3,340,10.3,7.6,NaN,324,50,221,7,7.43,52,0,0,0.22,0.19,0.033,0.78,0.22,0.175
2012-06-22,7.8,585,11.3,NaN,NaN,516,58,386,0,7.76,80,0,0,0.07,0.07,0,0.95,0.08,0.066
2012-07-11,8,638,14.3,NaN,NaN,608,39,392,0,8.0,108,0,0,0.28,0.05,0,1.18,0.08,0.046
2012-08-07,7.8,558,15.3,NaN,NaN,479,100,340,0,7.57,76,0,0,0.05,0.15,0,0.62,0.19,0.098
2012-09-20,7.9,387,15.9,8.2,NaN,502,89,422,5,7.86,78,0,0,0.1,0.13,0,0.39,0.17,0.063
2012-10-16,8,456,14.9,8.2,NaN,710,28,419,1,7.94,92,0,0,0.12,0.1,0.021,0.48,0.11,0.022
2012-11-23,7.9,311,6.7,NaN,NaN,408,84,271,0,7.25,52,0,0,0.24,0.13,0,0.54,0.15,0.032
2012-12-12,7.9,159,5.1,NaN,NaN,155,20,107,0,6.91,24,0,0,0,0,0,0.17,0.03,0.053
2013-01-28,7.8,489,6.1,NaN,NaN,515,32,287,3,7.2,48,0,0,0,0,0,0,0.1,0
2013-02-27,8.1,402,5.2,NaN,NaN,392,70,229,2,7.45,48,0,0,0,0.05,0,0,0.08,0
2013-03-19,8.1,201,6.5,NaN,NaN,190,35,126,0,7.1,14,0,0,0,0,0,0,0.04,0
2013-04-21,8.1,300,7.8,7.8,NaN,285,46,218,4,7.45,28,0,0,0.06,0.08,0,0.07,0.1,0
2013-05-23,8.1,341,15.8,NaN,NaN,349,43,241,5,7.28,52,0,0,0,0,0,0,0,0
2013-06-12,8,1020,15.3,NaN,NaN,1351,253,1185,6,8.21,106,0,0,0,0,0.032,0,0.1,0.041
2013-07-30,8,498,15.5,NaN,NaN,536,31,331,9,8.15,112,0,0,0,0,0.022,0,0,0.024
2013-08-20,8,235,16.7,NaN,NaN,482,94,309,17,8.3,82,0,0,0,0,0,0,0,0
2013-09-16,8.2,411,16.5,8,NaN,618,95,472,0,7.99,90,0,0,0,0,0,0,0.06,0
