TS165,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-10-28,7.4,147.5,12.6,6,,136,23,72,1,7.1,40.0,0,0,0.32,0.1,0.5,0.49,0.1,0.5
2002-12-27,7.6,68.7,3.2,,,72,13,36,4,6.88,20.0,0,0,0,0,0.067,0.13,0,0.194
2003-02-05,7.8,110,2.2,,,96,15,72,0,6.85,18.0,0,0,0.12,0,0,0.23,0.03,0.033
2003-02-27,7,69.8,3,,,73,13,44,14,7.04,108.0,0,0,0.15,0.03,0.085,0.32,0.03,0.211
2003-03-17,7.0,76.8,10.5,,,72,13,36,0,6.9,20.0,0,0,0,0.03,0,0.22,0.04,0.115
2003-04-16,7.0,74.6,12.5,,,80,13,60,1,6.74,22.0,0,0,0,0.06,0,0.21,0.07,0.034
2003-05-08,7.6,85.7,15.5,,,86,20,48,154,6.88,26.0,0,0,0.18,0.06,0.068,1.81,0.19,0.9
2003-06-14,7,75.7,19.1,,,82,4,48,70,6.99,36.0,0,0,0.17,0.03,0.038,1.25,0.08,0.295
2003-07-24,7.5,136.9,20,,,128,30,80,3,6.93,50.0,0,0,0.21,0.07,0,0.44,0.07,0.068
2003-08-18,6.8,77.1,19.3,,,90,4,56,17,6.59,20.0,0,0,0.15,0.05,0,0.46,0.07,0.169
2003-09-15,7,132.5,21,,,137,22,88,15,6.86,40.0,0,0,0.33,0.15,0,1.04,0.18,0.124
2003-10-06,7,82.7,13.2,,,86,14,44,0,6.53,30.0,0,0,0.12,0.04,0.142,0.31,0.05,0.402
2003-11-04,7.4,93,13,,,102,13,60,5,6.6,28.0,0,0,0.14,0.06,0,0.25,0.06,0.029
2004-01-02,7,72.9,5.8,,,77,2,64,50,6.32,22.0,0,0,0.23,0.04,0.233,1.05,0.1,1.342
2004-01-09,6.8,78.7,1.4,,,88,8,52,8,6.52,24.0,0,0,0.1,0.05,0,0.21,0.05,0.066
2004-02-21,6.8,89.8,5.2,,,97,8,52,1,6.46,32.0,0,0,0.31,0.06,0.164,0.4,0.08,0.166
2004-03-19,7,77.8,6.4,,,80,16,40,236,6.5,26.0,0,0,0.25,0.03,0.2,2.62,0.19,0.901
2004-04-20,7.4,84.2,18.8,,,92,14,48,8,6.61,26.0,0,0,0.2,0.04,0.127,1.17,0.11,0.133
2004-05-22,7.1,69.3,17.1,,,74,1,64,40,6.23,22.0,22,0,0.29,0.04,0.221,0.47,0.08,0.24
2004-06-12,7.3,72.2,17.2,,,80,17,80,18,6.74,30.0,0,0,0.27,0.03,0.173,0.81,0.06,0.524
2004-07-21,7.3,167.6,25.7,,,145,22,84,1,6.88,80.0,0,0,0.35,0.21,0.025,0.63,0.22,0.048
2004-08-06,7,127.2,18.2,,,120,8,68,8,6.84,54.0,0,0,0.15,0.06,0.025,0.42,0.06,0.191
2004-10-04,7.6,152.6,14.9,,,147,5,88,1,6.83,74.0,0,0,0.67,0.13,0.021,0.88,0.13,0.033
2004-11-09,7.8,100.9,7.9,,,99,5,48,3,6.77,40.0,0,0,0.22,0.11,0,0.38,0.11,0.06
2004-11-26,7,84.9,6,,,81,8,48,7,6.55,28.0,0,0,0.11,0.05,0,0.43,0.06,0
2004-12-06,6.8,89.6,6.7,,,84,11,68,0,6.68,26.0,0,0,0.16,0.06,0,0.39,0.07,0.077
2005-02-28,6.5,86.7,5.9,,,87,1,80,60,6.61,30.0,0,0,0.23,0.04,0.232,0.94,0.11,0.512
2005-03-17,6.5,79.4,4.3,,,89,4,48,4,6.21,18.0,14,0,0.17,0.04,0.03,0.18,0.04,0.048
2005-05-04,6.5,75.6,9.8,,,76,6,52,2,6.57,20.0,0,0,0.08,0,0,0.22,0.06,0.034
2005-05-13,7.4,110.6,18.9,,,110,11,68,8,6.6,62.0,0,0,0.2,0.11,0.047,0.45,0.12,0.092
2005-06-30,7,187,25.6,,,173,3,96,6,7.31,48.0,0,0,0.4,0.56,0.024,1.2,0.71,0.169
2005-08-09,7,175.3,24,,,155,0,128,8,6.6,76.0,0,0,0.52,0.58,0,0.87,1.03,0.033
2005-10-27,7.2,78.1,9,NaN,NaN,82,15,48,18,6.52,30.0,0,0,0.17,0,0.037,0.32,0.04,0.194
2005-11-28,7.8,99.6,10.9,NaN,NaN,99,14,72,0,6.23,34.0,0,0,0.17,0.11,0,0.34,0.12,0.046
2006-02-01,7.6,73.4,4.7,NaN,NaN,78,18,64,0,6.81,96.0,0,0,0.06,0.04,0,0.17,0.04,0.046
