TS117,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-10-31,7.6,54.6,9.2,9.67,,68,15,44,29,6.52,4,0,0,0,0.06,0.5,0.09,0.07,0.7
2002-12-03,7.4,98.4,2.9,7.79,34.33,79,16,48,0,6.8,20,0,0,0,0,0.057,0.08,0.1,0.293
2002-12-30,7.5,79.9,4.5,,27.38,95,20,56,5,6.62,4,8,0,0,0.1,0,0.08,0.1,0.036
2003-03-04,6.8,61.9,5.2,,,62,11,60,18,6.49,4,4,0,0,0.07,0.024,0,0.07,0.075
2003-03-29,7.0,110.6,11.6,9.2,14.02,59,9,40,0,6.59,14,20,0,0.1,0,0,0.21,0,0.046
2003-04-24,7.0,94.2,10.1,,15,92,23,52,3,6.7,14,0,0,0,0.09,0.056,0.06,0.09,0.22
2003-05-28,7,113.1,12.6,,22,90,27,48,3,6.86,16,0,0,0.16,0.09,0.173,0.18,0.09,0.247
2003-06-24,7,71.4,13.6,,,76,21,40,0,6.76,14,0,0,0.09,0.12,0.06,0.13,0.13,0.253
2003-08-01,7,98.8,17.9,,6.4,106,34,60,5,6.67,14,0,0,0,0.14,0.062,0.1,0.15,0.379
2003-08-26,7,209.8,17.1,,3,236,86,136,4,7.42,94,0,0,0,0.03,0.093,0.06,0.23,1.1
2003-09-23,7,67.6,15.2,,36,76,15,48,2,6.26,20,2,0,0.06,0.05,0.064,0.14,0.04,0.126
2003-10-28,7,75.1,7.8,,32,96,11,48,1,7.72,26,0,0,0.06,0.03,0.085,0.13,0.04,0.198
2003-12-02,7,74.6,3.5,11.2,55,72,11,48,0,6.93,26,0,0,0,0.05,0.051,0.06,0.05,0.153
2004-01-06,7,56.5,4.8,,,65,8,36,4,6.54,32,0,0,0,0.03,0.055,0.14,0.04,0.292
2004-02-03,7.0,162.6,2.1,,20.2,165,26,100,8,6.74,48,0,0,0,0.15,0.071,0.19,0.16,0.356
2004-03-02,7.0,131.3,6.9,,16.7,131,20,84,1,6.62,22,0,0,0.06,0.07,0.225,0.09,0.07,0.492
2004-03-30,7,145.3,9.3,11.15,8,116,21,68,0,6.46,30,0,0,0.11,0.1,0.178,0.18,0.11,0.341
2004-04-15,7.2,51.4,5.6,,,61,5,32,6,6.14,6,8,0,0.08,0.06,0.116,0.18,0.07,0.171
2004-05-17,7.6,136.9,16.3,,,146,20,100,0,6.98,44,0,0,0.06,0.07,0.175,0.1,0.08,0.29
2004-06-15,7.9,203.1,16.5,,13,228,40,144,2,7.08,62,0,0,0,0.13,0.073,0.09,0.15,0.364
2004-07-20,7.8,525,15.4,,4,482,209,312,1,7.74,218,0,0,0,0.22,0.197,0,0.27,0.443
