TS037,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-10-11,8,554,15.8,8.6,3.38,613,111,252,0,7.99,140,0,0,0.16,0,0.023,0.17,0.04,0.04
2002-11-07,7.8,205,8,9.88,92.58,261,46,136,3,7.75,62,0,0,0.12,0.06,0.03,0.35,0.08,0.5
2002-12-12,7.8,166.6,4.8,,,176,32,88,8,6.81,32,0,0,0.08,0.09,0.052,0.59,0.12,0.209
2003-01-10,7.7,257,5.1,,79.08,282,59,188,3,7.23,107,0,0,0.11,0.14,0.048,0.3,0.14,0.128
2003-02-20,7.2,425.8,5.0,,,533,53,268,19,7.4,44,0,0,0.13,0.17,0.161,0.39,0.18,0.499
2003-03-17,7.7,347.8,12.0,10,44.4,349,75,208,11,7.86,104,0,0,0.07,0.14,0.02,0.22,0.17,0.032
2003-04-28,8,246.8,14.3,,50.1,306,69,168,0,7.65,84,0,0,0.09,0.11,0.035,0.24,0.11,0.052
2003-06-02,7.3,244,13.3,,64.7,233,51,132,7,7.39,64,0,0,0.13,0.08,0.034,0.41,0.1,0.098
2003-06-26,7.8,274.5,20.4,,49,284,68,160,4,7.75,124,0,0,0.08,0.09,0.083,0.31,0.1,0.105
2003-07-25,8,412.1,18.9,,15,433,70,228,8,7.76,170,0,0,0.15,0.05,0.029,0.6,0.06,0.071
2003-08-30,7.5,266.9,23.4,,12,293,68,212,22,7.05,58,0,0,0.1,0.03,0.134,0.27,0.06,0.198
2003-09-30,8,393.6,11.7,,20.1,441,67,236,0,8.27,210,0,0,0.14,0.04,0.23,0.33,0.05,0.035
2003-11-03,8.2,424.7,11.9,,18,486,68,244,2,7.96,232,0,0,0.15,0.05,0.024,0.29,0.05,0.04
2003-11-28,7,284.7,9.5,,,290,45,152,16,7.48,58,0,0,0,0.03,0,0.27,0.06,0.35
2003-12-29,7,187.8,4,11,63,184,39,104,0,7.1,28,0,0,0.07,0.13,0.028,0.23,0.17,0.129
2004-01-29,7.5,363.3,.3,,,376,57,192,6,7.23,128,0,0,0.13,0.13,0.028,0.34,0.13,0.085
2004-02-25,7.0,236.6,5.6,12.6,41,261,33,132,1,6.93,36,0,0,0.07,0.1,0.022,0.26,0.11,0.097
2004-03-26,7.5,197.7,12.4,,34,193,38,116,1,7.24,56,0,0,0,0.11,0.05,0.31,0.11,0.129
2004-05-01,8.4,252.1,16.2,,,272,35,148,4,7.2,66,0,0,0.07,0.06,0.021,0.3,0.07,0.033
2004-05-21,7.8,243.3,19,,31,271,38,148,7,6.68,94,0,0,0.15,0.05,0.035,0.54,0.07,0.194
2004-06-22,7.8,225.8,19.5,,,245,37,124,6,7.06,64,0,0,0.15,0.04,0.177,0.34,0.04,0.178
2004-07-31,7.5,268,20.5,,,274,39,140,7,7.14,46,0,0,0.18,0.08,0.07,0.42,0.1,0.212
2004-09-02,8.2,366.2,20.4,,4,409,49,252,5,7.18,180,0,0,0.12,0.04,0.194,0.34,0.05,0.226
2004-09-21,7.8,174.9,14.1,,61,169,25,112,0,6.86,50,0,0,0.17,0.07,0,0.37,0.07,0.092
2004-10-30,8.5,231.8,15.5,,,233,28,128,4,6.96,54,0,0,0.09,0,0.044,0.23,0,0.159
2004-12-05,7,184.2,4.9,,90,161,25,100,4,6.96,36,0,0,0.09,0.11,0.049,0.27,0.12,0
2004-12-30,7,200.8,3.6,13.29,52,188,27,144,0,6.83,66,0,0,0.09,0.17,0,0.3,0.18,0.107
2005-02-22,6.8,272.2,8.5,,,259,15,176,8,6.75,42,0,0,0.13,0.23,0.196,0.46,0.25,0.522
2005-04-09,7.5,225.4,12.6,12.6,,231,19,144,8,7.52,146,0,0,0.1,0.1,0.036,0.31,0.12,0.082
2005-05-09,8.2,253.8,14.1,,47,265,20,196,7,7.08,60,0,0,0.09,0.09,0.1,0.27,0.1,0.397
2005-06-02,7.9,328.7,20.6,,14,360,25,192,7,7.29,78,0,0,0.09,0.07,0.029,0.38,0.12,0.152
2005-06-08,7.9,334,19.7,,15,358,20,208,1,6.9,86,0,0,0.1,0.09,0.02,0.37,0.12,0.123
2005-08-17,7.7,368,23.1,,11,363,27,192,92,7.36,72,0,0,0.3,0.11,0.167,2.76,0.27,0.939
2005-11-08,7.7,329.6,6,NaN,3.12,347,59,232,0,7.33,68,0,0,0.17,0.05,0.026,0.23,0.06,0.052
2005-12-12,8,423,2.2,NaN,8.26,424,33,240,0,7.27,44,0,0,0.15,0.26,0.058,0.42,0.26,0.225
2006-01-18,7.4,227,4.8,NaN,NaN,186,19,160,35,6.23,16,0,0,0.21,0.22,0.091,1.71,0.5,0.304
2006-03-09,7.9,314.9,8.7,NaN,15.1,344,61,220,4,7.23,120,0,0,0,0.14,0.056,0.16,0.15,0.108
2006-04-07,8.1,162.5,11.2,10.55,64.3,139,29,104,0,6.73,28,0,0,0.1,0.14,0.032,0.27,0.15,0.107
2006-05-03,8.0,264.8,13.8,NaN,24.5,299,43,152,0,6.78,38,0,0,0.11,0.13,0,0.33,0.14,0.036
2006-06-05,8.1,309.9,17.9,NaN,4.42,347,38,232,2,6.76,126,0,0,0.2,0.08,0.062,0.64,0.14,0.223
2006-08-08,8.3,274.8,20.7,NaN,NaN,280,34,156,0,7.29,56,0,0,0.13,0.14,0,1.11,0.29,0.104
2006-09-01,8.1,469.1,19,NaN,23.7,489,45,288,0,7.77,120,0,0,0.21,0,0.168,0.63,0,0.249
2006-10-04,7,268.3,15.5,NaN,NaN,304,41,164,8,7.63,174,0,0,0.19,0,0.04,0.42,0,0.116
2006-10-16,8,1230,8.5,NaN,7.58,1290,233,1052,9,6.93,190,0,0,0,0,0,0.08,0,0.02
2006-11-07,8.2,305,7.6,NaN,43.5,316,47,196,2,7.42,80,0,0,0.15,0.15,0.036,0.41,0.15,0.1
2006-12-05,8.3,279.2,4.4,NaN,28.7,340,47,232,5,8.05,224,0,0,0.08,0,0.076,0.16,0.14,0.135
2007-01-13,7.7,241.1,5.4,NaN,67.6,279,45,140,7,7.26,24,0,0,0.14,0.11,0.075,0.35,0.13,0.227
2007-04-02,8.8,241,11.4,11,NaN,285,37,180,0,6.93,36,0,0,0.21,0.13,0.048,0.49,0.15,0.11
2007-05-11,8.3,223,19.8,NaN,NaN,254,41,132,0,7.11,34,0,0,0.15,0.05,0.052,0.65,0.14,0.211
2007-06-13,8.2,314,23.2,NaN,NaN,349,38,308,47,7.11,28,0,0,0.21,0.07,0.076,2.08,0.71,0.301
2007-07-10,6.8,333,25,NaN,NaN,423,66,260,0,7.31,80,0,0,0.26,0.07,0.092,0.49,0.1,0.167
2007-08-15,8.3,423,20.5,NaN,5.69,442,52,256,8,7.81,110,0,0,0.11,0,0,0.28,0.05,0.066
2007-09-13,7.8,438,19.2,NaN,6.64,476,49,240,3,7.01,110,0,0,0.12,0.08,0,0.35,0.1,0.099
2007-10-05,7.8,480,22.3,NaN,2.75,558,57,292,2,7.18,108,0,0,0.09,0.06,0,0.28,0.06,0.117
2007-10-30,7.8,499,11.4,NaN,8.12,495,57,252,6,7.28,64,0,0,0.19,0.08,0,0.22,0.1,0
2007-12-11,8.4,238,13.9,NaN,NaN,476,51,260,3,8.0,68,0,0,0.1,0,0.107,0.3,0.03,0.198
2008-01-10,7.6,365,5,NaN,NaN,373,33,192,3,7.2,36,0,0,0.11,0.04,0.026,0.34,0.04,0.36
2008-02-11,6.7,212,2,NaN,68.4,319,36,160,3,6.96,20,0,0,0.12,0.15,0.026,0.39,0.15,0.141
2008-03-14,7.6,247,11.3,10,NaN,300,42,168,0,6.96,28,0,0,0.15,0.14,0.119,0.53,0.15,0.267
