TS173,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-10-23,7.8,159.5,9.8,9.5,4.39,152,53,76,1,7.15,102,0,0,0.07,0,0,0.1,0,0.024
2002-11-25,7.4,143.6,6.6,6.84,53.95,136,31,88,0,6.79,8,0,0,0,0.03,0.022,0.1,0.03,0.023
2003-01-03,6.6,89.8,6.3,,,88,25,60,94,6.59,4,4,0,0.68,0.24,0.63,1.47,0.48,0.9
2003-02-05,7.5,92,2.5,,,101,22,76,13,6.45,6,32,0,0.07,0.06,0.026,0.27,0.09,0.073
2003-03-06,7.0,99.8,4.8,,146.91,96,21,92,8,6.68,8,0,0,0,0.08,0.034,0.35,0.1,0.187
2003-03-21,7.0,131.4,11.5,10,31.26,132,43,72,0,6.88,62,0,0,0.07,0.04,0.023,0.14,0.06,0.092
2003-04-18,7,113.6,12.4,,32,119,36,80,8,6.6,16,0,0,0,0,0.036,0.1,0,0.05
2003-05-29,7,144.2,14.3,,48.4,120,38,64,0,6.91,22,0,0,0.06,0,0.033,0.15,0.03,0.073
2003-06-21,7,76.3,14.3,,,79,15,48,0,7.0,18,0,0,0.06,0.05,0.066,0.26,0.07,0.313
2003-07-11,7.5,256.6,23.4,,9,281,102,152,9,6.69,32,0,0,0,0,0.03,0.14,0.07,0.054
2003-08-29,7.5,254,21.7,,4,225,88,132,0,6.9,40,0,0,0,0,0,0.09,0,0.044
2003-09-20,7,90.5,16.4,,,87,19,44,5,6.76,14,0,0,0.09,0,0.171,0.41,0.07,0.211
2003-10-23,7,132.9,8.4,9.8,21,129,38,68,1,6.7,32,0,0,0,0,0,0.11,0,0.043
2003-12-04,6.8,97.2,2.8,,53,84,20,56,0,6.47,20,0,0,0.08,0.06,0.061,0.09,0.06,0.074
2004-01-07,7,86.4,1.3,,128,85,14,48,5,6.36,20,4,0,0,0.06,0.019,0.12,0.07,0.117
2004-02-04,6.5,92.6,3.1,,,91,11,64,14,6.15,8,0,0,0.08,0.08,0.066,0.23,0.1,0.245
2004-03-03,7.0,176.6,9.5,,13,165,47,112,2,6.41,14,0,0,0,0,0.036,0.12,0,0.037
2004-04-01,7,139.6,7.3,11.4,55,139,26,80,5,6.47,16,0,0,0.07,0.05,0.076,0.25,0.06,0.191
2004-04-21,7.6,124.3,16.7,,49,131,37,92,3,6.54,16,0,0,0,0,0.04,0.12,0.03,0.096
2004-05-15,7.8,168,18.8,,5,165,43,160,0,6.74,30,0,0,0,0,0.02,0.09,0,0.045
2004-06-17,7.9,138.4,18.8,,37,130,26,68,0,6.66,30,0,0,0.12,0,0,0.23,0,0.03
2004-07-08,7.8,179.3,22.8,,28,163,45,116,1,6.8,40,0,0,0.08,0.04,0.079,0.17,0.05,0.12
2004-08-11,7.3,174.8,23.3,,5,165,41,88,7,6.8,40,0,0,0,0,0,0.11,0,0.028
2004-09-23,7.8,160,18.4,,28,152,31,120,0,6.67,160,0,0,0.1,0,0.023,0.12,0.03,0.048
2004-10-20,6.8,105.6,12.9,,,99,15,52,22,6.43,16,0,0,0.08,0,0.033,0.24,0.04,0.214
2004-11-20,6.8,92.7,11.5,,,87,18,48,18,6.58,24,0,0,0,0,0,0.09,0,0.063
