TS050,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-09-19,8.2,740,19.9,,3.22,642,77,404,16,7.95,152,0,0,0,0,0,0,0,0.039
2002-11-04,8.2,502,9.9,9.9,14.01,602,106,380,0,8.04,108,0,0,0,0,0,0.07,0,0.068
2002-12-10,8.6,398,6.3,,23.39,457,111,252,2,8.33,54,0,0,0.06,0,0.027,0.06,0.1,0.045
2003-01-20,7.8,398.8,4.9,,22.52,461,86,264,4,7.63,112,0,0,0,0,0.023,0,0,0.028
2003-02-11,7.9,376,5.8,,32.44,380,75,200,3,7.93,102,0,0,0,0,0,0,0,0
2003-03-06,8.8,451,9.3,,75.11,749,63,408,4,8.53,226,0,0,0,0,0.05,1.53,0.09,0.6
2003-04-04,8,746,17.1,10,39.2,816,127,468,0,8.51,184,0,0,0,0,0.04,0.12,0.03,0.069
2003-05-13,8.5,395.1,17.2,,31,818,217,472,2,8.29,108,0,0,0,0.03,0.087,0.06,0.08,0.09
2003-06-06,7.8,399.1,18.2,,63,399,11,240,10,8.14,110,0,0,0,0,0.052,0.13,0,0.122
2003-07-17,8,561,23.3,,10,618,106,364,0,9.16,204,0,0,0,0,0.027,0.09,0,0.064
2003-08-13,8,522,20.9,,11.1,556,117,420,3,8.84,106,0,0,0,0,0.02,0.9,0,0.039
2003-09-11,8,575,19.1,,15.1,616,198,432,1,8.88,168,0,0,0,0,0.075,0.08,0,0.093
2003-11-01,8.6,583,13,,10,608,173,372,2,8.37,198,0,0,0,0,0.089,0.07,0,0.144
2003-11-20,7.4,341,10.8,,,410,67,320,15,7.8,108,0,0,0,0,0,0.18,0,0.099
2003-12-15,8.2,290,8,,63,341,82,260,0,7.45,72,0,0,0.07,0,0.04,0.08,0,0.066
2004-01-20,8.0,382.3,5.1,,62.4,408,58,208,2,8.02,156,0,0,0,0,0.075,0.07,0,0.168
2004-02-09,8.0,347.6,7.0,,,381,85,268,5,6.93,78,0,0,0,0,0.042,0.19,0,0.181
2004-04-06,7.7,324,10,,72.5,390,89,204,0,7.26,108,0,0,0.12,0,0.04,0.12,0,0.061
2004-04-27,8.5,910,14.2,,43,989,191,500,4,8.23,312,0,0,0.09,0,0.124,0.17,0,0.175
