TS070,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-10-07,7.8,842,19.4,9.1,3.59,826,116,552,0,7.55,84,0,0,0,0.35,0,0.36,0.38,0.168
2002-11-09,8,308,8.3,7,13.15,341,87,180,2,7.42,36,0,0,0.08,0.13,0.6,0.26,0.14,1
2002-12-11,7.8,241.3,5.2,,26.49,310,66,164,108,6.6,14,0,0,0.42,0.12,0.5,2.42,0.19,2.1
2003-01-13,7.8,230.2,0.05,,19.13,280,93,180,6,6.81,30,0,0,0.1,0.1,0.057,0.13,0.1,0.255
2003-02-14,7.0,254.3,1.8,,19.59,311,98,176,19,7.75,144,0,0,0.08,0.12,0.049,0.15,0.12,0.219
2003-03-14,7.0,266.1,9.2,11.6,22.18,303,109,172,4,6.82,20,0,0,0,0.14,0.03,0.3,0.16,0.467
2003-04-25,7.2,246,12.4,,17.7,311,120,220,0,6.87,36,0,0,0.06,0.1,0.136,0.17,0.11,0.249
2003-05-12,7.7,252.9,15.1,,9,359,111,216,7,7.41,44,0,0,0,0.12,0.092,0.91,0.16,0.5
2003-06-09,7,220,14.9,,52,188,73,112,8,7.53,116,0,0,0,0.07,0.06,0.27,0.07,0.291
2003-07-17,7.3,365.9,20.8,,6,412,80,264,0,7.82,72,0,0,0,0.05,0.17,0.28,0.16,0.278
2003-08-12,7.6,317,22.3,,8.1,353,106,200,5,6.92,66,0,0,0,0.14,0.065,0.32,0.17,0.067
2003-09-09,7.5,292.8,18.5,,14.1,348,110,196,4,7.34,70,0,0,0,0.11,0.07,0.26,0.11,0.242
2003-10-18,7.5,326.5,11.3,,6,349,134,220,0,7.62,60,0,0,0,0.1,0.128,0.25,0.1,0.316
2003-11-20,7.9,192,12.4,,,227,60,128,24,7.85,32,0,0,0.07,0.06,0.151,0.56,0.08,1.485
2003-12-19,7.8,219,5.2,11.4,49.7,234,66,120,8,7.1,34,0,0,0,0.09,0.414,0.16,0.1,0.456
2004-01-17,7.0,268.0,3.1,,23,334,87,180,8,6.57,48,0,0,0.08,0.08,0.035,0.21,0.08,0.384
2004-02-14,7.0,241.5,3.7,12.79,28,290,87,148,12,6.72,38,0,0,0.08,0.09,0.096,0.34,0.11,0.548
