TS161,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-10-19,7.5,99,16.6,5,,262,2,180,18,5.7,4,0,0,0.94,0.86,0.6,1.9,0.93,0.6
2002-11-13,6.9,76,9.4,8.3,,82,14,44,13,6.53,22,0,0,0.12,0.11,0.6,0.45,0.16,0.7
2003-01-04,7.6,42.4,4.7,,,59,13,32,15,6.31,8,0,0,0,0,0.049,0.14,0,0.237
2003-02-05,7.8,60,27,,,54,10,36,7,5.79,8,6,0,0.24,0.03,0,25.3,0.61,0.6
2003-02-28,7.0,49.9,3.2,,,58,8,36,0,7.18,124,0,0,0,0,0.046,0.06,0,0.064
2003-04-01,7.0,52,5.7,,,78,13,72,0,6.5,18,0,0,0.07,0,0,0.13,0,0.053
2003-04-23,7,59.3,11.4,,,67,11,40,4,6.51,14,0,0,0.1,0,0.041,0.12,0,0.051
2003-05-17,7,49.9,15.5,,,53,15,44,1,6.39,16,6,0,0.06,0,0,0.11,0,0.045
2003-06-14,7,43.3,17.6,,,54,9,28,16,6.76,20,0,0,0.09,0,0.043,0.33,0.03,0.117
2003-07-24,7.3,64.7,21.3,,,79,17,56,0,6.75,18,0,0,0,0,0.02,0.08,0,0.05
2003-08-18,7,49.4,19,,,54,14,40,36,6.4,12,0,0,0.14,0,0.021,0.46,0.07,0.261
2003-09-15,7,62.4,20.9,,,75,17,48,0,6.52,38,0,0,0.09,0,0.02,0.16,0,0.085
2003-10-06,7,51.3,12.2,,,55,11,48,0,6.31,10,18,0,0.12,0,0,0.14,0,0
2003-11-04,7.1,52.4,13.1,,,51,10,40,2,6.29,22,0,0,0.06,0,0,0.1,0,0.057
2004-01-02,7,62.8,5.7,,,71,7,40,47,6.24,18,4,0,0.53,0.07,0.489,0.85,0.1,0.652
2004-01-09,6.5,51.3,1.5,,,59,6,36,3,6.26,14,2,0,0.07,0,0.023,0.11,0,0.044
2004-02-21,7.0,58.4,4.9,,,64,5,32,0,6.44,10,0,0,0.08,0.03,0.023,0.12,0.03,0.079
2004-03-19,6.5,59.6,6.8,,,64,13,36,9,6.44,10,0,0,0.07,0,0.058,0.2,0,0.156
2004-04-20,7,47.7,17.8,10.5,,50,7,28,2,6.41,10,2,0,0.09,0,0.036,0.12,0,0.142
2004-05-22,7.1,44.1,16.1,,,48,1,32,42,6.11,8,22,0,0.21,0,0.227,0.38,0.09,0.267
2004-06-12,8.1,61.6,18.8,,,72,5,64,46,6.76,26,0,0,0.21,0,0.109,0.95,0.05,0.62
2004-07-21,7.3,64.6,29,,,57,23,32,2,6.57,12,0,0,0,0,0,0.15,0.06,0.036
2004-08-06,7,71.3,19.5,,,69,5,40,3,6.5,16,0,0,0.08,0,0,0.17,0,0.047
2004-10-04,7.1,75,15.3,,,82,6,48,0,6.65,66,0,0,0.21,0,0,0.26,0.03,0
2004-11-09,7.8,55.7,8.3,,,58,4,32,3,6.44,12,0,0,0,0,0,0.09,0,0.041
2004-11-26,6.5,58,6.6,,,66,7,44,0,6.33,16,0,0,0.08,0,0,0.17,0.03,0
2004-12-06,6.5,52.2,6.6,,,55,8,40,0,6.36,10,4,0,0.09,0,0,0.14,0,0.026
2005-02-28,6.3,75.5,6.1,,,74,10,68,34,6.57,16,0,0,0.07,0,0.099,0.24,0.03,0.173
2005-03-17,6.5,64.0,5.4,,,66,3,40,4,6.28,14,12,0,0,0,0,0.08,0,0.021
2005-05-04,6.5,53.5,9.1,,,78,4,40,3,6.55,6,0,0,0.07,0,0.024,0.1,0,0.029
2005-05-13,7.6,60.8,21.2,,,63,5,40,4,6.16,34,0,0,0,0,0,0.1,0,0.025
2005-06-30,7,78.5,26.6,,,82,3,80,5,6.64,14,0,0,0.08,0,0.051,0.14,0,0.136
2005-08-09,7,89.9,25.6,,,95,3,84,5,6.52,54,0,0,0.07,0,0,0.12,0,0.034
2005-10-27,7.4,63.1,9.3,NaN,NaN,70,14,48,5,6.24,14,12,0,0.25,0,0.1153,0.26,0,0.153
2005-11-28,7.9,58.4,7.5,NaN,NaN,65,10,56,0,6.2,6,4,0,0.09,0,0,0.11,0,0.023
2006-02-01,7.4,58.1,4.7,NaN,NaN,71,23,56,0,7.1,102,0,0,0,0,0,0.1,0,0.034
2006-02-15,8.3,62.6,5.4,NaN,NaN,78,14,52,4,6.0,12,6,0,0.36,0.03,0,0.55,0.03,0.036
2006-03-24,8,64.1,6.2,NaN,NaN,67,10,36,2,5.86,16,0,0,0.17,0.03,0.024,0.17,0.04,0.037
2006-05-05,6.8,69.7,17.1,10.37,NaN,113,8,68,0,6.87,56,0,0,0.33,0.1,0,0.39,0.1,0
2006-05-31,8.4,55.9,21.9,NaN,NaN,57,10,32,7,5.77,6,0,0,0.07,0,0,0.12,0,0.023
2006-06-29,7.5,61.3,17.4,NaN,NaN,58,9,32,6,6.15,66,0,0,0,0.06,0.041,0.18,0.07,0.219
2006-08-03,8.2,78.6,28.6,NaN,NaN,96,1,68,0,7.0,26,0,0,0,0,0.025,0.09,0,0.076
2006-08-31,8.2,102.4,22.6,NaN,NaN,114,4,57,3,6.72,36,0,0,0.13,0,0,0.2,0,0
2006-09-07,8.7,67.6,19.9,NaN,NaN,82,1,60,0,6.71,34,0,0,0,0,0,0.1,0,0
2006-10-27,6.5,55.8,8.5,NaN,NaN,81,8,68,0,7.02,18,0,0,0.13,0,0,0.18,0,0.051
2006-12-08,7.4,61.2,1.2,NaN,NaN,68,8,36,0,6.71,38,0,0,0.11,0,0,0.13,0,0
2006-12-30,7.8,57.9,4.2,NaN,NaN,61,12,32,0,6.8,22,0,0,0.09,0.02,0.021,0.14,0.03,0.032
2007-01-23,7.9,67.4,4,NaN,NaN,69,13,64,0,6.87,20,0,0,0.11,0,0,0.16,0,0.054
2007-03-01,7.5,60.6,6.5,NaN,NaN,52,12,28,6,6.9,24,0,0,0.07,0,0,0.13,0,0.05
2007-03-30,8.1,51.1,12.6,NaN,NaN,63,12,44,0,6.75,16,0,0,0.06,0,0,0.13,0,0.03
2007-04-27,8.4,54,16.9,NaN,NaN,63,11,32,0,6.61,16,0,0,0.1,0.03,0,0.17,0.04,0.03
2007-06-05,8.7,76,21.6,NaN,NaN,90,21,48,3,6.9,4,0,0,0.09,0,0,0.17,0,0.034
2007-07-05,7.9,80,22.2,NaN,NaN,84,1,76,19,6.97,30,0,0,0.1,0,0.023,0.49,0.08,0.332
2007-08-07,7.6,39,30,NaN,NaN,86,3,52,3,6.7,54,0,0,0.21,0.11,0,0.33,0.15,0.027
2007-09-01,7.8,113,22.8,NaN,NaN,134,1,100,4,6.9,44,0,0,0.25,0.16,0,0.47,0.17,0
2007-09-17,7.5,90,15.3,NaN,NaN,85,7,52,1,6.88,120,0,0,0.12,0,0,0.2,0,0.031
2007-10-19,7.7,112,18,NaN,NaN,116,5,76,2,6.93,102,0,0,0.15,0.06,0,0.23,0.07,0
2007-12-05,7.9,57,2.6,NaN,NaN,63,12,60,0,6.29,54,0,0,0,0,0.022,0.09,0,0.037
2007-12-27,7.7,63,6.4,NaN,NaN,74,10,44,2,7.0,2,0,0,0.06,0,0,0.11,0,0.118
2008-01-18,7,72,7.2,NaN,NaN,68,10,40,1,6.65,10,0,0,0,0,0,0.12,0,0.03
2008-03-06,7.6,21,6.5,NaN,NaN,60,9,40,1,6.43,6,10,0,0.07,0,0.092,0.19,0,0.173
