TS016,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-11-02,8.4,681,9.5,12.2,2.693,716,156,444,2,8.27,116,0,0,0.09,0.11,0.03,0.09,0.11,0.098
2002-12-09,7.9,256,3,5.87,59.8,260,62,152,2,7.53,52,0,0,0,0.06,0.027,0.11,0.06,0.07
2003-01-09,8,289.1,4.4,,100.48,320,103,160,0,7.2,56,0,0,0,0.07,0,0.17,0.09,0.139
2003-02-10,7.5,265.5,2.2,,60.6,291,60,164,3,7.68,58,0,0,0,0.05,0,0.12,0.05,0
2003-03-13,7.5,397.7,10.7,11.2,51.82,425,69,260,0,7.91,128,0,0,0,0.1,0,0.07,0.12,0
2003-04-07,7.5,263.3,10.3,,199.04,294,105,204,82,7.28,46,0,0,0.17,0.15,0.086,1.57,0.24,0.278
2003-05-01,8,319.8,18,,62.3,402,137,244,21,7.59,116,0,0,0.12,0.06,0.137,0.19,0.17,0.146
2003-06-11,7.8,237.1,18,,75,258,86,132,12,7.8,94,0,0,0,0.04,0.05,0.31,0.06,0.207
2003-07-02,8,354.9,17.4,,53.1,393,90,220,18,8.01,112,0,0,0,0.03,0.031,0.28,0.05,0.145
2003-08-04,8,500,21.3,,11.1,554,146,328,3,7.46,136,0,0,0,0.06,0.041,0.11,0.08,0.17
2003-09-02,7.8,341.1,21.9,,19,377,122,256,16,7.21,68,0,0,0.06,0.07,0.055,0.76,0.11,0.475
2003-10-16,7.5,257.9,10.6,,25.1,299,102,216,14,6.65,104,0,0,0.16,0.03,0.127,1.17,0.05,0.426
2003-11-14,7.5,279.4,6.7,10.8,68,250,80,176,9,7.81,122,0,0,0.06,0.03,0.029,0.3,0.05,0.115
2003-12-17,7.3,255.3,4,,,282,88,160,13,7.18,54,0,0,0,0.12,0.029,0.5,0.14,0.178
2004-01-23,7.5,274.0,.5,,,312,90,160,4,7.45,118,0,0,0.09,0.1,0.039,0.13,0.11,0.046
2004-02-10,7.5,219.9,4.8,11.4,,244,59,128,11,6.83,48,0,0,0.11,0.13,0.065,0.2,0.13,0.078
2004-03-11,7.5,276.2,6.2,,82.2,297,74,152,7,7.46,58,0,0,0,0.07,0.028,0.13,0.1,0.113
2004-04-16,7.8,204.6,9.7,,,198,58,124,24,6.9,42,0,0,0,0.07,0.029,0.62,0.11,0.256
2004-05-10,8.3,400.5,19.5,,64,447,97,292,1,7.72,126,0,0,0,0.06,0.025,0.13,0.07,0.085
2004-06-25,8.2,403.3,19.7,,45,435,103,276,3,8.21,218,0,0,0.06,0.04,0.023,0.2,0.05,0.165
2004-08-02,7.8,449.7,22.7,,14,459,35,260,3,7.85,126,0,0,0,0.08,0.036,0.48,0.09,0.204
2004-08-17,7.8,535,18.8,,15,544,61,296,1,7.64,158,0,0,0,0.05,0.06,0.2,0.1,0.127
2004-09-15,8.3,542,18.2,,5,557,93,312,1,8.15,194,0,0,0,0.07,0.093,0.18,0.1,0.227
2004-10-29,8,243.2,14.5,,65,254,49,144,8,6.92,84,0,0,0,0.04,0.034,0.17,0.04,0.23
2004-11-30,7.4,306.7,8,,50,305,59,184,0,7.27,106,0,0,0,0.06,0,0.14,0.06,0.035
2004-12-30,7.5,418.1,3.1,14.15,51,421,113,328,0,7.4,118,0,0,0,0.1,0.025,0.15,0.11,0.053
2005-02-10,7.5,272.5,6.2,,113,264,66,148,27,6.94,86,0,0,0.07,0.07,0.076,1,0.11,0.24
2005-03-23,7.5,330.4,10.6,,,338,64,208,77,7.6,94,0,0,0.2,0.1,0.306,1.59,0.21,0.81
2005-04-22,7.5,418.1,16.1,10.76,42,396,57,276,3,7.39,154,0,0,0,0.07,0.118,0.09,0.08,0.136
2005-06-02,8.5,516,25,,11,509,82,348,11,8.29,160,0,0,0,0,0.024,0.25,0.09,0.21
2005-06-08,8.5,256,24.8,,10,515,91,380,9,7.92,146,0,0,0,0.06,0,0.2,0.12,0.136
2005-07-22,7.5,300.3,21.8,,45,300,41,208,24,7.25,102,0,0,0.09,0,0.102,0.41,0.03,0.147
