TS053,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-10-19,7.9,96.3,11.6,11.7,20.8,148,20,84,5,7.21,28,0,0,0.08,0,0.6,0.1,0,0.6
2002-11-07,7.7,56,8.2,11.3,150.559,78,14,52,1,6.99,20,0,0,0.09,0,0.06,0.13,0,0.085
2003-12-12,7.8,60.6,5.2,,,73,14,44,1,6.38,8,0,0,0,0,0.026,0.14,0,0.106
2003-01-15,7.8,89.1,0.1,,,115,17,92,0,6.01,24,0,0,0,0,0.027,0,0,0.052
2003-02-20,6.7,102,3.4,,67.83,87,20,68,13,6.84,24,0,0,0,0,0,0.1,0.03,0
2003-03-21,7.8,109.2,10.8,9.6,57.228,106,15,72,0,7.03,24,0,0,0.13,0.04,0.029,0.19,0.05,0.075
2003-04-28,7.5,83.92,14,,61,95,16,76,2,6.72,24,0,0,0,0,0.054,0.06,0,0.058
2003-06-02,7.2,83,13.2,,78.3,81,14,72,3,7.12,22,0,0,0.09,0,0,0.2,0,0.055
2003-06-25,7.1,106.5,17.8,,40.3,96,21,48,0,7.3,42,0,0,0.11,0,0.046,0.14,0,0.065
2003-07-25,7.8,122.1,19.2,,10.4,137,21,84,3,6.89,92,0,0,0,0,0,0,0,0.02
2003-08-30,7.5,140.3,20.8,,7.34,164,23,152,0,6.85,42,0,0,0,0,0.158,0,0,0.232
2003-09-29,7.5,100.2,12.9,,26,117,17,88,4,7.36,24,0,0,0,0,0,0.07,0,0
2003-11-03,7.8,85.5,13.5,,27,100,10,52,0,6.86,22,0,0,0,0,0,0.08,0,0
2003-12-06,7,97.1,4.5,,,93,12,56,0,6.69,42,0,0,0,0,0.023,0.2,0,0.132
2003-12-29,7,87.7,4.4,11.2,62,95,11,88,1,6.99,22,0,0,0,0,0.112,0.07,0,0.293
2004-02-03,7.0,107.8,.9,,,116,14,60,0,6.65,28,0,0,0,0,0.022,0,0,0.047
2004-02-27,6.5,75.2,4.9,12.4,54,82,9,44,2,6.66,38,0,0,0,0,0.033,0,0,0.046
2004-04-06,7,67.5,5.8,,,72,9,36,0,6.32,20,0,0,0,0,0.047,0.11,0,0.108
2004-05-01,7.7,86,14.1,,107,92,11,60,3,6.8,32,0,0,0,0,0,0.07,0,0
2004-05-27,7.7,71.1,16.6,,,81,19,48,15,6.65,36,0,0,0.09,0,0.046,0.55,0,0.203
