TS013,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-10-17,7.6,117,11.3,9.1,27.3,136,9,72,2,7.14,32,0,0,0.21,0.03,0.5,0.46,0.04,0.7
2002-11-05,7.2,138,9.1,10.68,15.97,165,27,96,2,7.29,36,0,0,0.31,0.07,0.6,0.44,0.06,0.7
2002-12-31,7.5,170,6,,21,120,20,84,2,7.23,36,0,0,0.1,0,0.023,0.15,0,0.099
2003-01-10,7.6,96.3,3.8,,52.48,111,20,64,2,6.73,18,0,0,0.09,0,0.042,0.18,0,0.194
2003-02-13,7.0,134.1,1.3,,24.44,127,31,64,4,7.6,32,0,0,0.17,0.03,0,0.25,0.03,0.023
2003-03-26,7.5,161,9.7,,22.6,132,23,124,4,7.42,48,0,0,0.12,0,0.028,0.26,0,0.055
2003-04-09,7,68.2,8.4,,,75,14,52,33,7.43,14,0,0,0.09,0,0.028,0.46,0,0.198
2003-05-02,7.4,88.6,14.5,,60.1,98,14,56,3,7.47,144,0,0,0.17,0,0.058,0.24,0,0.088
2003-06-26,7.2,144.2,19.2,,22,151,35,112,6,7.13,76,0,0,0.16,0.06,0.023,0.41,0.08,0.107
2003-07-18,7.8,182.9,21.9,,6.03,230,32,116,6,6.98,72,0,0,0.29,0.08,0.033,0.57,0.09,0.076
2003-08-30,7.5,185,22.2,,7,196,34,164,0,7.01,60,0,0,0.27,0.03,0.179,0.42,0.03,0.181
2003-09-30,7.5,150.5,12.6,,9,163,23,100,1,7.57,66,0,0,0.34,0.06,0.031,0.55,0.07,0.061
2003-11-03,7.6,138.6,12.1,,10.4,163,21,104,0,6.87,54,0,0,0.19,0.05,0,0.32,0.05,0
2003-11-28,7.3,156.3,8.5,,26.4,143,20,84,7,7.24,94,0,0,0,0,0,0.13,0,0.258
2003-12-23,7,122,3,11.4,44,127,16,112,4,7.29,58,0,0,0.1,0,0.535,0.26,0,0.66
2004-01-29,7.0,140.0,.1,,,140,19,80,6,6.68,54,0,0,0.11,0.04,0,0.36,0.04,0.057
2004-02-25,7.0,119.4,3.8,13.34,33.3,139,14,72,2,6.93,44,0,0,0.26,0,0.107,0.27,0,0.307
2004-03-27,7,138.3,9.9,,19,140,16,84,1,7.3,46,0,0,0.13,0.04,0,0.34,0.05,0.109
