TS212,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
10/23/2002,8.2,2762,8.2,8.54,8.23,3970,240,3772,5,8.31,266,0,0,0.18,0.03,0.5,0.24,0.06,0.8
11/15/2002,8,2184,5,7.6,7.11,2540,419,2124,6,8.07,16,0,0,0.07,0.06,0.06,0.27,0.07,0.5
12/21/2002,7.8,1140,4.7,,47.67,1209,433,832,5,8.22,80,0,0,0.11,0.1,0.116,0.28,0.15,0.189
2/4/2003,7.8,425,2.7,,,469,155,256,269,7.8,50,0,0,0.31,0.13,0.156,11.8,0.84,5
2/25/2003,7.3,675,1.3,,,713,158,420,8,8.27,152,0,0,0.1,0.14,0.032,0.36,0.15,0.5
3/25/2003,7.6,1766,7.1,10.9,18.7,1894,307,1484,0,7.93,170,0,0,0,0.17,0.05,0.11,0.18,0.085
4/21/2003,8,1923,17,,24,1990,488,1412,2,8.28,194,0,0,0,0.08,0.089,0.14,0.11,0.107
5/9/2003,7.8,354.8,14.6,,,466,158,380,2068,7.47,80,0,0,4.76,0.93,2.8,14.4,4.95,9.5
6/17/2003,8,156.7,17.7,,29.3,1619,296,1040,17,8.42,166,0,0,0.37,0.13,0.144,0.76,0.13,0.6
7/8/2003,8,1538,21.6,,26,1611,434,1444,148,7.87,210,0,0,1.29,0.33,0.388,2,0.42,0.386
8/19/2003,8,2925,21.9,,3,3000,594,2312,5,8.64,282,0,0,0.08,0.05,0.061,0.13,0.06,0.072
9/16/2003,8,3237,20.7,,9.47,3160,433,2744,7,8.34,252,0,0,0,0.05,0,0.1,0.06,0.083
10/7/2003,8,2896,13.2,10,11.2,2690,644,2380,3,8.35,198,0,0,0,0.06,0.13,0.08,0.08,0.139
11/5/2003,8.2,2400,12.9,,18,2300,472,1956,8,8.16,212,0,0,0.06,0.09,0,0.24,0.1,0.051
12/9/2003,8,1460,4.2,,25,1578,437,968,1,8.03,170,0,0,0.07,0.19,0.025,0.22,0.2,0.072
1/14/2004,8,1044,2.2,,24,1131,581,752,7,8.21,134,0,0,0.06,0.23,0.108,0.21,0.24,0.279
2/17/2004,7.5,1791,4.3,11.8,30,1798,715,1264,2,8.14,186,0,0,0,0.26,0.044,0.16,0.29,0.095
3/16/2004,8,1827,6.1,,,1876,868,1232,10,7.86,208,0,0,0.11,0.14,0.071,0.64,0.2,0.271
4/13/2004,7.8,264.8,8,,,298,94,208,436,6.9,70,0,0,2.44,0.32,1,9.82,1.16,5.1
5/6/2004,8.1,2314,11.1,,30,2380,1180,1936,7,7.76,172,0,0,0.07,0.1,0.069,0.15,0.11,0.118
6/9/2004,8,2618,18.3,,39,2540,688,1972,7,7.75,116,0,0,0.11,0.1,0.064,0.21,0.12,0.08
7/7/2004,8,4831,21.2,,27,4370,645,3880,9,8.08,366,0,0,0,0.07,0.031,0.12,0.09,0.122
8/3/2004,8,4127,25.9,,17,3920,716,3392,1,8.35,182,0,0,0,0.04,0.023,0,0.05,0.055
9/3/2004,8.4,4302,22.1,,8,3920,718,3596,6,8.11,234,0,0,0,0.05,0.059,0.12,0.05,0.092
10/12/2004,8.2,4301,12.9,11.97,28,4420,364,3956,13,8.2,226,0,0,0.06,0.05,0.039,0.12,0.06,0.137
11/12/2004,8,1514,10.1,,,1514,498,1132,19,7.79,116,0,0,0,0.09,0.05,0.17,0.13,0.202
12/11/2004,7.5,494,8.3,,,972,31,584,17,7.49,106,0,0,0.09,0.08,0.086,0.58,0.12,0.089
1/11/2005,7.5,1270,6.6,,,1178,248,876,20,7.75,124,0,0,0,0.2,0.054,0.31,0.25,0.216
2/3/2005,7.5,1508,4.6,,35,1420,237,1012,1,7.59,182,0,0,0.1,0.22,0.045,0.22,0.22,0.141
3/1/2005,7.5,1326,4.8,,,1365,205,852,11,7.46,94,0,0,0.06,0.15,0.152,0.16,0.17,0.154
4/12/2005,7.8,1914,10.5,11.81,36,1793,435,1288,4,8.11,136,0,0,0,0.13,0.048,0.06,0.14,0.09
5/10/2005,8.4,2204,21.7,,20,2080,278,1708,5,8.3,122,0,0,0,0.06,0.088,0.1,0.07,0.136
6/14/2005,8.4,,24.9,,18,4030,602,3708,8,8.72,154,0,0,0,0.22,0.045,0,0.25,0.046
7/18/2005,7.8,3337,25.9,,14,3040,123,2608,5,7.89,172,0,0,0,0,0.026,0,0.07,0.066
8/29/2005,8.2,4401,21.6,,10,3940,444,3900,6,8.32,198,0,0,0,0.05,0.157,0.12,0.07,0.202
10/19/2005,8.2,4042,14.6,11.22,16.7,3990,295,2960,6,8.17,134,0,0,0,0.06,0,0.06,0.07,0.109
11/16/2005,7.7,180,11.6,NaN,NaN,1803,308,1600,275,7.81,134,0,0,0.4,0.33,0.451,3.71,0.89,1
1/11/2006,8.3,2315,8.8,NaN,29.2,2150,237,1808,0,8,146,0,0,0,0.28,0.03,0.32,0.29,0.068
2/7/2006,8,432.3,2,NaN,73.3,841,169,592,0,7.8,128,0,0,0.14,0.08,0.066,0.27,0.1,0.094
3/14/2006,7.7,768,8.4,NaN,NaN,677,433,536,16,7.43,122,0,0,0.15,0.14,0.238,0.76,0.23,0.498
